campaign_full_date,age_td,policy,family,votes_required,CAGR,MDD,Return,WinWait,DiffCAGR
2009-04-22,505,I50_W9_K5,W9,5,-0.01634464965930682,-0.20469098381692152,-0.1187207888336933,False,-0.020631017409888153
2009-04-22,505,I50_W9_K7,W9,7,-0.01412111360358681,-0.20469098381692152,-0.1033278460986723,False,-0.018407481354168143
2009-04-22,505,L25_50_PB5_W9_K3,W9,3,-0.012571254965642376,-0.21963081307998122,-0.09246080417213698,False,-0.016857622716223708
2009-04-22,505,L25_50_PB5_W9_K5,W9,5,-0.012571254965642376,-0.21963081307998122,-0.09246080417213698,False,-0.016857622716223708
2009-04-22,505,L25_50_PB5_W9_K7,W9,7,-0.010142953201461191,-0.21963081307998122,-0.07520412264901266,False,-0.014429320952042524
2009-04-22,505,WAIT_NEXT,NONE,0,0.0042863677505813325,0.0,0.033345275858313705,False,0.0
2009-04-22,756,I25_N3_K2,N3,2,0.08831358329332728,-0.22878770520725933,0.7584606662362436,True,0.08343064743748552
2009-04-22,756,I50_N3_K2,N3,2,0.14615821823229047,-0.30797048017168016,1.4839001559785552,True,0.1412752823764487
2009-04-22,756,L25_50_PB5_N3_K2,N3,2,0.15445621791879804,-0.3124366401792579,1.6063282070874392,True,0.14957328206295628
2009-04-22,756,I25_W9_K3,W9,3,0.08345384570183434,-0.22878770520725933,0.7067484194067182,True,0.07857090984599258
2009-04-22,756,I25_W9_K5,W9,5,0.08831358329332728,-0.22878770520725933,0.7584606662362436,True,0.08343064743748552
2009-04-22,756,I25_W9_K7,W9,7,0.0749220167640352,-0.22878770520725933,0.6190860257692719,True,0.07003908090819344
2009-04-22,756,I50_W9_K3,W9,3,0.13887276822947014,-0.30797048017168016,1.3804756623194931,True,0.13398983237362838
2009-04-22,756,I50_W9_K5,W9,5,0.14615821823229047,-0.30797048017168016,1.4839001559785552,True,0.1412752823764487
2009-04-22,756,I50_W9_K7,W9,7,0.12588372491561395,-0.30797048017168016,1.2051508750445925,True,0.12100078905977218
