strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount
V4_M100_S5_YBC65_RD12_RT15_RF60,100,5,0.65,-0.12,0.15,60,0.09844259633414243,-0.6082281414273032,0.16185143308747826,12.90151880430857,3697,-0.5375718744821336,-0.6082281414273032,-0.024871637972662675,-0.26780327357066025,-0.26196669198258116,-0.4673585317393665,-0.12573109392328186,-0.23928008203902573,6.571188013136181,-0.4673585317393665,0.13215092510957804,-0.4673585317393665,0.7250437828371279,0.20143449250898918,258
V4_M100_S5_YBC65_RD12_RT25_RF40,100,5,0.65,-0.12,0.25,40,0.07963972554866094,-0.7846963440338146,0.10149113877511459,8.06132042881862,5650,-0.7322213052792892,-0.7846963440338146,-0.17074555350609955,-0.421202306161216,-0.23387405226480618,-0.4673585317393665,-0.15942517966863556,-0.30466814778731066,7.586534456218978,-0.4673585317393665,0.14092035471298558,-0.4673585317393665,0.7479568009340338,0.23522512408187815,353
V4_M100_S5_YBC65_RD12_RT25_RF60,100,5,0.65,-0.12,0.25,60,0.08046514845115205,-0.7214629816938465,0.11153052962223571,8.230879180523576,5630,-0.6712286794933207,-0.7214629816938465,-0.17328219723383576,-0.4122793089254888,-0.2338740522648064,-0.4673585317393665,-0.160179404709056,-0.3052920502426969,7.595938932161932,-0.4673585317393665,0.1409969324570628,-0.4673585317393665,0.7632807939287799,0.24386870092190616,254
V4_M100_S5_YBC65_RD15_RT0_RF40,100,5,0.65,-0.15,0.0,40,0.11094365522334071,-0.5644880999703301,0.1965385191099192,17.559014787092135,3614,-0.48594329295366234,-0.5644880999703301,-0.05736988026051426,-0.2611935100806352,-0.3586632645215122,-0.4673585317393665,-0.012656345922898549,-0.11425134269348936,8.458841126462993,-0.4673585317393665,0.14770879094860456,-0.4673585317393665,0.5719497956800934,0.19804725751371563,259
V4_M100_S5_YBC65_RD15_RT0_RF60,100,5,0.65,-0.15,0.0,60,0.11239282246438997,-0.4673585317393665,0.24048522671897746,18.193659635163776,2585,-0.32889778690879556,-0.4662421370762363,-0.06918798563108708,-0.2704562025869427,-0.3586632645215124,-0.4673585317393665,-0.08979995856247536,-0.1834570858338026,7.729272456689106,-0.4673585317393665,0.14207424698757332,-0.4673585317393665,0.5659661412726211,0.19632617730756824,204
V4_M100_S5_YBC65_RD15_RT15_RF40,100,5,0.65,-0.15,0.15,40,0.10670893094704836,-0.6047666820078526,0.1764464447558022,15.82431270154826,3695,-0.5295792445875835,-0.6047666820078526,-0.07114438407453316,-0.30254818976635567,-0.2544527792639891,-0.4673585317393665,-0.12632944558580872,-0.2398007205113143,8.187159371752154,-0.4673585317393665,0.14565983332642318,-0.4673585317393665,0.7368651488616462,0.21592626388759073,306
V4_M100_S5_YBC65_RD15_RT15_RF60,100,5,0.65,-0.15,0.15,60,0.10687596815671085,-0.6082281414273032,0.1757169076490107,15.889493438946102,3597,-0.5375718744821336,-0.6082281414273032,-0.024871637972661897,-0.2678032735706599,-0.2544527792639889,-0.4673585317393665,-0.14412919510170208,-0.2552886600884179,7.39687438239258,-0.4673585317393665,0.13935896687148297,-0.4673585317393665,0.7257734967892586,0.2182794205554167,245
V4_M100_S5_YBC65_RD15_RT25_RF40,100,5,0.65,-0.15,0.25,40,0.08641582778877277,-0.7846963440338146,0.1101264564895805,9.559044985515563,5207,-0.7322213052792892,-0.7846963440338146,-0.1707455535060991,-0.4212023061612158,-0.22740723021715603,-0.46735853173936637,-0.165749850567661,-0.3098999784637535,8.974518081691663,-0.46735853173936637,0.151450363495228,-0.46735853173936637,0.7486865148861647,0.2426596400099401,329
V4_M100_S5_YBC65_RD15_RT25_RF60,100,5,0.65,-0.15,0.25,60,0.08565847822967121,-0.7214629816938465,0.11872886122107436,9.379198142834701,5210,-0.6712286794933207,-0.7214629816938465,-0.17328219723383653,-0.4122793089254888,-0.2274072302171556,-0.46735853173936637,-0.16792520984517334,-0.31169945729547066,8.876183585460474,-0.46735853173936637,0.15075111649924455,-0.46735853173936637,0.7594862813776999,0.25298498564996064,253
V4_M100_S5_YBC65_RD18_RT0_RF40,100,5,0.65,-0.18,0.0,40,0.11751049743931619,-0.5644880999703301,0.20817178864442426,20.616484490642538,2053,-0.48594329295366234,-0.5644880999703301,0.029755234078020498,-0.2535357176609295,-0.35866326452151287,-0.46735853173936637,-0.0835932010288214,-0.18071209246921582,7.136483219986538,-0.46735853173936637,0.13716046911258206,-0.46735853173936637,0.5817279626386457,0.2055226782680815,242
V4_M100_S5_YBC65_RD18_RT0_RF60,100,5,0.65,-0.18,0.0,60,0.12451546395389723,-0.4673585317393665,0.26642385983730416,24.441627906821054,1653,-0.32889778690879556,-0.4662421370762363,0.010050317980719647,-0.23308522761229,-0.358663264521513,-0.4673585317393665,-0.15246645954565696,-0.23967537302767206,6.532959057087681,-0.4673585317393665,0.1317995930401148,-0.4673585317393665,0.5823117338003503,0.2058819050064312,193
V4_M100_S5_YBC65_RD18_RT15_RF40,100,5,0.65,-0.18,0.15,40,0.11510419089937218,-0.6047666820078526,0.19032826100343542,19.440910975606847,2481,-0.5295792445875835,-0.6047666820078526,-0.09924434425873274,-0.33161299645861564,-0.24439756667372659,-0.46735853173936637,-0.17181345474231813,-0.2793773215703025,8.584959831533556,-0.46735853173936637,0.14864123758969616,-0.46735853173936637,0.7151196730881495,0.21907085040879115,294
V4_M100_S5_YBC65_RD18_RT15_RF60,100,5,0.65,-0.18,0.15,60,0.11742945469241617,-0.6082281414273032,0.1930681050318544,20.575800971646025,2064,-0.5375718744821336,-0.6082281414273032,-0.05932794690580323,-0.2971027252334165,-0.24439756667372647,-0.46735853173936637,-0.18197380442593825,-0.2882180573256923,8.16055718888119,-0.46735853173936637,0.14545615897652708,-0.46735853173936637,0.7139521307647402,0.22392793089466073,239
V4_M100_S5_YBC65_RD18_RT25_RF40,100,5,0.65,-0.18,0.25,40,0.09429067227412768,-0.7846963440338146,0.12016198748858253,11.637119501896185,4466,-0.7322213052792892,-0.7846963440338146,-0.17427191873918924,-0.42120025792297044,-0.21720742796394388,-0.4673585317393665,-0.19950263009472335,-0.3378206134128553,9.668961871172854,-0.4673585317393665,0.15621185946948346,-0.4673585317393665,0.7248978400467017,0.23848455805792143,316
V4_M100_S5_YBC65_RD18_RT25_RF60,100,5,0.65,-0.18,0.25,60,0.09093362442790709,-0.7214629816938465,0.12604059630947892,10.70290497124617,4350,-0.6712286794933207,-0.7214629816938465,-0.17907604900186858,-0.41227722911071063,-0.21720742796394332,-0.4673585317393666,-0.18116923116794503,-0.32265504346622564,8.659724231523237,-0.4673585317393666,0.1491885783742033,-0.4673585317393666,0.739492119089317,0.2692459708740857,242
V4_M100_S5_YBC65_RD20_RT0_RF40,100,5,0.65,-0.2,0.0,40,0.10862805608182735,-0.5677352686689799,0.19133575466695785,16.58895858469995,2054,-0.48977609028557945,-0.5677352686689799,-0.03681680086916339,-0.26086304373726865,-0.35866326452151254,-0.46735853173936637,-0.17218172562665546,-0.2573619914482943,6.052069398386739,-0.46735853173936637,0.1272311221903928,-0.46735853173936637,0.587711617046118,0.20804761527568907,232
V4_M100_S5_YBC65_RD20_RT0_RF60,100,5,0.65,-0.2,0.0,60,0.1136749682525755,-0.4673585317393665,0.24322861472007754,18.773534665240312,1683,-0.36473153510334144,-0.4662421370762363,-0.05436280155826034,-0.2588366479197518,-0.3586632645215124,-0.4673585317393665,-0.23442188001194053,-0.3131978019583106,5.528769912822412,-0.4673585317393665,0.12191482430383993,-0.4673585317393665,0.5881494454173963,0.20832599692632323,186
V4_M100_S5_YBC65_RD20_RT15_RF40,100,5,0.65,-0.2,0.15,40,0.1043452907403688,-0.6585528495246233,0.15844634309257108,14.929138075079223,3695,-0.5935974545970968,-0.6585528495246233,-0.12318096016758895,-0.34260498859792743,-0.2461249979572857,-0.4673585317393666,-0.21758735270598617,-0.31920616102878796,7.752568167194504,-0.4673585317393666,0.14226088606804965,-0.4673585317393666,0.7152656158785756,0.22123163820130845,279
V4_M100_S5_YBC65_RD20_RT15_RF60,100,5,0.65,-0.2,0.15,60,0.11042142662448917,-0.6290795439986837,0.1755285602240473,17.335581726763508,2480,-0.5621838388039984,-0.6290795439986837,-0.07818104460297115,-0.30866292995417366,-0.24612499795728515,-0.4673585317393665,-0.2249039870645847,-0.32557251976617063,7.3185689151546125,-0.4673585317393665,0.13870463676409428,-0.4673585317393665,0.7126386456509048,0.2253621203563081,228
V4_M100_S5_YBC65_RD20_RT25_RF40,100,5,0.65,-0.2,0.25,40,0.08955286734753387,-0.7823570893385045,0.11446546413128597,10.340009756097402,4480,-0.7293119140470851,-0.7823570893385045,-0.19405374915850815,-0.43071892906897224,-0.18552345162680872,-0.4673585317393665,-0.22245052471578364,-0.35680334009618997,8.608054801173354,-0.4673585317393665,0.1488107394851168,-0.4673585317393665,0.7266491535318156,0.23815341102812088,296
