start_date,full_date,age_td,age_bucket,horizon_y,policy,CAGR,MDD,Final,late_entry_date,late_entry_qqq_drawdown
2017-06-01,2009-04-22,2042,1009_plus,3,PB10_50,0.013531524316821919,-0.3624705326676503,1.041156797617252,2018-02-08,-0.10226372108070536
2017-06-01,2009-04-22,2042,1009_plus,3,PB10_100,-0.038738091899454985,-0.5637273396039273,0.8882033302577934,2018-02-08,-0.10226372108070536
2017-06-01,2009-04-22,2042,1009_plus,3,PB15_50,0.027486040299233183,-0.13094047692621913,1.0847672779832094,2018-12-17,-0.15543941592599309
2017-06-01,2009-04-22,2042,1009_plus,3,PB15_100,-0.008272665787925848,-0.2247604706896119,0.975380702303688,2018-12-17,-0.15543941592599309
2017-06-01,2009-04-22,2042,1009_plus,3,WAIT_NEXT,0.06094687614006067,-0.058377478662755,1.194263294959059,,
2017-06-01,2009-04-22,2042,1009_plus,5,IMM25,0.18357047742622257,-0.524568880861692,2.3223519322032473,2017-06-02,0.0
2017-06-01,2009-04-22,2042,1009_plus,5,IMM50,0.17504852296112405,-0.524568880861692,2.239949595766833,2017-06-02,0.0
2017-06-01,2009-04-22,2042,1009_plus,5,IMM100,0.15724139722127473,-0.5637273396039275,2.07530964520572,2017-06-02,0.0
2017-06-01,2009-04-22,2042,1009_plus,5,PB5_50,0.15014860791806006,-0.524568880861692,2.0124933019998017,2018-02-05,-0.07494272532786073
2017-06-01,2009-04-22,2042,1009_plus,5,PB5_100,0.1013905731630953,-0.5637273396039271,1.620624400294116,2018-02-05,-0.07494272532786073
2017-06-01,2009-04-22,2042,1009_plus,5,PB10_50,0.15959099547889388,-0.524568880861692,2.096460859143393,2018-02-08,-0.10226372108070536
2017-06-01,2009-04-22,2042,1009_plus,5,PB10_100,0.12331738396036096,-0.5637273396039273,1.7884755889869441,2018-02-08,-0.10226372108070536
2017-06-01,2009-04-22,2042,1009_plus,5,PB15_50,0.16914758392231377,-0.524568880861692,2.1842744001440475,2018-12-17,-0.15543941592599309
2017-06-01,2009-04-22,2042,1009_plus,5,PB15_100,0.1445526589385948,-0.524568880861692,1.9640149013320831,2018-12-17,-0.15543941592599309
2017-06-01,2009-04-22,2042,1009_plus,5,WAIT_NEXT,0.19185386797930892,-0.524568880861692,2.4047542686396626,,
2017-07-03,2009-04-22,2064,1009_plus,3,IMM25,0.13573131441677555,-0.2545567062651235,1.464592148258245,2017-07-05,0.0
2017-07-03,2009-04-22,2064,1009_plus,3,IMM50,0.1340844434870978,-0.39606949190716445,1.4582343871994068,2017-07-05,0.0
2017-07-03,2009-04-22,2064,1009_plus,3,IMM100,0.1307796062066955,-0.563727339603928,1.445531574249269,2017-07-05,0.0
2017-07-03,2009-04-22,2064,1009_plus,3,PB5_50,0.07178382160371766,-0.3499590032229084,1.231010119696106,2018-02-05,-0.07494272532786073
2017-07-03,2009-04-22,2064,1009_plus,3,PB5_100,-0.002906975070291251,-0.5637273396039271,0.9913101499548158,2018-02-05,-0.07494272532786073
2017-07-03,2009-04-22,2064,1009_plus,3,PB10_50,0.0864970886020755,-0.3624705326676504,1.2823717378774961,2018-02-08,-0.10226372108070536
2017-07-03,2009-04-22,2064,1009_plus,3,PB10_100,0.030414681657656484,-0.5637273396039268,1.0939820503673896,2018-02-08,-0.10226372108070536
2017-07-03,2009-04-22,2064,1009_plus,3,PB15_50,0.10146996487753612,-0.14723087963306447,1.3360858831671907,2018-12-17,-0.15543941592599309
2017-07-03,2009-04-22,2064,1009_plus,3,PB15_100,0.0631020695433484,-0.2247604706896127,1.2013566536451403,2018-12-17,-0.15543941592599309
2017-07-03,2009-04-22,2064,1009_plus,3,WAIT_NEXT,0.13737342777557315,-0.14723087963306447,1.470949909317077,,
2017-07-03,2009-04-22,2064,1009_plus,5,IMM25,0.19113419765783957,-0.524568880861692,2.395208512570476,2017-07-05,0.0
2017-07-03,2009-04-22,2064,1009_plus,5,IMM50,0.1900970039934191,-0.524568880861692,2.3848109671329087,2017-07-05,0.0
2017-07-03,2009-04-22,2064,1009_plus,5,IMM100,0.18801381096675263,-0.563727339603928,2.364036660956309,2017-07-05,0.0
2017-07-03,2009-04-22,2064,1009_plus,5,PB5_50,0.1504066208374626,-0.524568880861692,2.0132061483895196,2018-02-05,-0.07494272532786073
2017-07-03,2009-04-22,2064,1009_plus,5,PB5_100,0.10158532451896596,-0.5637273396039271,1.6211984425787203,2018-02-05,-0.07494272532786073
2017-07-03,2009-04-22,2064,1009_plus,5,PB10_50,0.1598615248673967,-0.5245688808616918,2.097203447728971,2018-02-08,-0.10226372108070536
2017-07-03,2009-04-22,2064,1009_plus,5,PB10_100,0.12354029734618965,-0.5637273396039268,1.789109085935948,2018-02-08,-0.10226372108070536
2017-07-03,2009-04-22,2064,1009_plus,5,PB15_50,0.16943086711527888,-0.524568880861692,2.1850480932136063,2018-12-17,-0.15543941592599309
2017-07-03,2009-04-22,2064,1009_plus,5,PB15_100,0.14480329420378535,-0.524568880861692,1.9647105761601034,2018-12-17,-0.15543941592599309
2017-07-03,2009-04-22,2064,1009_plus,5,WAIT_NEXT,0.192167796694932,-0.524568880861692,2.405606058008032,,
