start_date,full_date,age_td,age_bucket,horizon_y,policy,CAGR,MDD,Final,initial_entry_date,add_date,add_qqq_dd
2005-04-01,2002-12-12,578,505_756,5,WAIT_NEXT,0.2845870297200792,-0.24310272735162097,3.497473111108525,,,
2005-05-02,2002-12-12,599,505_756,3,IMM25,0.05102214683039241,-0.23925765188519976,1.1610521486925187,2005-05-03,,
2005-05-02,2002-12-12,599,505_756,3,IMM50,0.06131991225329814,-0.3899302736847944,1.195523784713634,2005-05-03,,
2005-05-02,2002-12-12,599,505_756,3,IMM100,0.08131652444016435,-0.5643134086518344,1.2643981479382262,2005-05-03,,
2005-05-02,2002-12-12,599,505_756,3,L25_TO50_PB5_POST,0.0481915018574115,-0.370906820119414,1.1516941303449286,2005-05-03,2005-10-11,-0.05339300923208523
2005-05-02,2002-12-12,599,505_756,3,L25_TO100_PB5_POST,0.04171559439659456,-0.5643134086518344,1.1304744180699504,2005-05-03,2005-10-11,-0.05339300923208523
2005-05-02,2002-12-12,599,505_756,3,L50_TO100_PB5_POST,0.05525656493778697,-0.5643134086518344,1.1751454271492001,2005-05-03,2005-10-11,-0.05339300923208523
2005-05-02,2002-12-12,599,505_756,3,L25_TO100_PB5_R63,0.07180919882414427,-0.5643134086518344,1.2313312745156455,2005-05-03,2005-05-04,-0.06269663871567155
2005-05-02,2002-12-12,599,505_756,3,L25_TO100_PB10_R63,0.06529570274956886,-0.5643134086518347,1.2090131383552636,2005-05-03,2006-06-08,-0.10133321394135164
2005-05-02,2002-12-12,599,505_756,3,WAIT_NEXT,0.04051845713835078,0.0,1.1265805126714068,,,
2005-05-02,2002-12-12,599,505_756,5,IMM25,0.3080387951662762,-0.24310272735162097,3.8229329524944022,2005-05-03,,
2005-05-02,2002-12-12,599,505_756,5,IMM50,0.31572463520210725,-0.3899302736847944,3.9364358243679294,2005-05-03,,
2005-05-02,2002-12-12,599,505_756,5,IMM100,0.3305648114779709,-0.5643134086518344,4.163214675817344,2005-05-03,,
2005-05-02,2002-12-12,599,505_756,5,L25_TO50_PB5_POST,0.3059208557698241,-0.370906820119414,3.79212031694541,2005-05-03,2005-10-11,-0.05339300923208523
2005-05-02,2002-12-12,599,505_756,5,L25_TO100_PB5_POST,0.3010668616391141,-0.5643134086518344,3.722251330104621,2005-05-03,2005-10-11,-0.05339300923208523
2005-05-02,2002-12-12,599,505_756,5,L50_TO100_PB5_POST,0.31120281761161195,-0.5643134086518344,3.869337120198161,2005-05-03,2005-10-11,-0.05339300923208523
2005-05-02,2002-12-12,599,505_756,5,L25_TO100_PB5_R63,0.32352288039533517,-0.5643134086518344,4.054337188974468,2005-05-03,2005-05-04,-0.06269663871567155
2005-05-02,2002-12-12,599,505_756,5,L25_TO100_PB10_R63,0.3186840352966296,-0.5643134086518347,3.980851481840774,2005-05-03,2006-06-08,-0.10133321394135164
2005-05-02,2002-12-12,599,505_756,5,WAIT_NEXT,0.3001682340277372,-0.24310272735162086,3.709430080620901,,,
2005-06-01,2002-12-12,620,505_756,3,IMM25,0.02830230617020768,-0.2034183870163715,1.0871891290535118,2005-06-02,,
2005-06-01,2002-12-12,620,505_756,3,IMM50,0.016088381410533037,-0.3567443869131245,1.0489666290000723,2005-06-02,,
2005-06-01,2002-12-12,620,505_756,3,IMM100,-0.009233201155075532,-0.5643134086518344,0.972598035689906,2005-06-02,,
2005-06-01,2002-12-12,620,505_756,3,L25_TO50_PB5_POST,0.024908342816521545,-0.37091316045856126,1.0764764857161202,2005-06-02,2005-10-11,-0.05339300923208523
2005-06-01,2002-12-12,620,505_756,3,L25_TO100_PB5_POST,0.018564897848245332,-0.5643134086518345,1.05664312435409,2005-06-02,2005-10-11,-0.05339300923208523
2005-06-01,2002-12-12,620,505_756,3,L50_TO100_PB5_POST,0.009461933569147929,-0.5643134086518345,1.0286094149996923,2005-06-02,2005-10-11,-0.05339300923208523
2005-06-01,2002-12-12,620,505_756,3,L25_TO100_PB5_R63,0.018564897848245332,-0.5643134086518345,1.05664312435409,2005-06-02,2005-10-11,-0.05339300923208523
2005-06-01,2002-12-12,620,505_756,3,L25_TO100_PB10_R63,0.04321475501132466,-0.5643134086518344,1.1351003567934115,2005-06-02,2006-06-08,-0.10133321394135164
2005-06-01,2002-12-12,620,505_756,3,WAIT_NEXT,0.04023343230408227,0.0,1.1254116291069498,,,
2005-06-01,2002-12-12,620,505_756,5,IMM25,0.21812816603841378,-0.3481470911173369,2.681730118378939,2005-06-02,,
2005-06-01,2002-12-12,620,505_756,5,IMM50,0.20943891295355566,-0.3567443869131245,2.587448059394154,2005-06-02,,
2005-06-01,2002-12-12,620,505_756,5,IMM100,0.19129005639591035,-0.5643134086518344,2.3990724113076003,2005-06-02,,
2005-06-01,2002-12-12,620,505_756,5,L25_TO50_PB5_POST,0.21571779704782656,-0.37091316045856126,2.6553056283637178,2005-06-02,2005-10-11,-0.05339300923208523
2005-06-01,2002-12-12,620,505_756,5,L25_TO100_PB5_POST,0.2112041305176744,-0.5643134086518345,2.6063833929477376,2005-06-02,2005-10-11,-0.05339300923208523
2005-06-01,2002-12-12,620,505_756,5,L50_TO100_PB5_POST,0.20470719509197965,-0.5643134086518345,2.5372336556145276,2005-06-02,2005-10-11,-0.05339300923208523
2005-06-01,2002-12-12,620,505_756,5,L25_TO100_PB5_R63,0.2112041305176744,-0.5643134086518345,2.6063833929477376,2005-06-02,2005-10-11,-0.05339300923208523
2005-06-01,2002-12-12,620,505_756,5,L25_TO100_PB10_R63,0.22868131247713142,-0.5643134086518344,2.799911011661476,2005-06-02,2006-06-08,-0.10133321394135164
2005-06-01,2002-12-12,620,505_756,5,WAIT_NEXT,0.22657637063619873,-0.3481470911173369,2.776012177363729,,,
2005-07-01,2002-12-12,642,505_756,3,IMM25,0.03866367554375083,-0.2213628223820534,1.1205651779477939,2005-07-05,,
2005-07-01,2002-12-12,642,505_756,3,IMM50,0.0375078725671274,-0.37393762463150493,1.116827587671823,2005-07-05,,
2005-07-01,2002-12-12,642,505_756,3,IMM100,0.03519082987805744,-0.5643134086518344,1.1093598785647127,2005-07-05,,
