strategy,activate_mult,trail_dd,reenter_level,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V11_A3p0_T55_R1p000,3.0,-0.55,1.0,0.28808141056038217,-0.7179610774225003,0.4012493429234385,987.399497029161,750,-0.22223753493752263,-0.3825580141011322,-0.2580167692766966,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.32513122628410684,-0.5614916416879033,225.46890023611638,-0.7179610774225003,0.39441812640525,-0.7179610774225003,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.089333296744618,0.30159503135223115,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T55_R1p020,3.0,-0.55,1.02,0.2869061283741423,-0.7179610774225003,0.39961237091590407,963.1525703975012,750,-0.22223753493752263,-0.3825580141011322,-0.2580167692766966,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.32513122628410684,-0.5614916416879033,219.90765088881636,-0.7179610774225003,0.3922940640507193,-0.7179610774225003,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.9889142012144907,0.2917916539385072,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V11_A4p0_T30_R0p980,4.0,-0.3,0.98,0.3184952872753246,-0.7179610774225003,0.44361079909614504,1864.4218249929133,706,-0.22223753493752263,-0.3825580141011322,0.2900987239621129,-0.3161763396632925,0.6475388370201061,-0.6992207245312605,-0.09191707606389643,-0.4099564719909464,244.94103253167387,-0.7179610774225003,0.40148807088157845,-0.7179610774225003,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.979528379421396,0.48612463384686977,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A4p0_T30_R1p000,4.0,-0.3,1.0,0.3115344888416498,-0.7179610774225001,0.43391556818103166,1614.1007858838288,706,-0.22223753493752263,-0.3825580141011322,0.2900987239621129,-0.3161763396632925,0.6475388370201063,-0.6992207245312605,-0.09191707606389687,-0.40995647199094676,211.92049286752155,-0.7179610774225001,0.3891539306573266,-0.7179610774225001,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.861129915447117,0.47456602717532476,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A4p0_T30_R1p020,4.0,-0.3,1.02,0.30953344986870523,-0.7179610774224998,0.4311284547345365,1548.3511769841757,706,-0.22223753493752263,-0.3825580141011322,0.2900987239621129,-0.3161763396632925,0.6475388370201063,-0.6992207245312605,-0.09191707606389732,-0.409956471990947,203.24728035489937,-0.7179610774224998,0.3856163013645679,-0.7179610774224998,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.717201963826664,0.4605151136247622,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A4p0_T35_R0p980,4.0,-0.35,0.98,0.30990843204760044,-0.7179610774225,0.4316507423496831,1560.4725055865085,706,-0.22223753493752263,-0.3825580141011322,0.06438426344157189,-0.36375119577023407,0.6475388370201063,-0.6992207245312605,-0.07878298117396754,-0.4014223530445532,248.49821081732736,-0.7179610774225,0.4027225592478949,-0.7179610774225,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.979528379421388,0.486124633846869,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A4p0_T35_R1p000,4.0,-0.35,1.0,0.30299296663027864,-0.7179610774225001,0.4220186527632273,1350.960315875334,706,-0.22223753493752263,-0.3825580141011322,0.06438426344157189,-0.36375119577023407,0.6475388370201061,-0.6992207245312605,-0.07878298117396598,-0.4014223530445521,215.00007721342155,-0.7179610774225001,0.39037755460536383,-0.7179610774225001,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.861129915447118,0.4745660271753248,2023-02-03,2023-02-28,1.0,1.0,0
V11_A4p0_T35_R1p020,4.0,-0.35,1.02,0.30100495965838214,-0.7179610774225,0.41924969072000146,1295.929605783018,706,-0.22223753493752263,-0.3825580141011322,0.06438426344157189,-0.36375119577023407,0.6475388370201063,-0.6992207245312605,-0.0787829811739672,-0.40142235304455287,206.20141933326914,-0.7179610774225,0.3868368092231451,-0.7179610774225,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.717201963826668,0.46051511362476255,2023-02-03,2023-02-28,1.0,1.0,0
V11_A4p0_T40_R0p980,4.0,-0.4,0.98,0.29156881413490954,-0.7179610774225,0.4061067142826873,1062.8580241765378,706,-0.22223753493752263,-0.3825580141011322,0.043346740080554724,-0.41319231145891766,0.6475388370201061,-0.6992207245312605,-0.09675493555050974,-0.41786163736418136,172.36297524872109,-0.7179610774225,0.3717579671017468,-0.7179610774225,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.156443435753414,0.3081466340879212,2023-02-03,2023-02-28,1.0,1.0,0
V11_A4p0_T40_R1p000,4.0,-0.4,1.0,0.281419482864838,-0.7179610774224999,0.3919703890845193,857.3460141787507,706,-0.22223753493752263,-0.3825580141011322,0.043346740080554724,-0.41319231145891766,0.6475388370201063,-0.6992207245312605,-0.09675493555050951,-0.41786163736418147,138.84187206077212,-0.7179610774224999,0.3538040246551901,-0.7179610774224999,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.074143212865809,0.30011210497827856,2023-02-03,2023-02-28,1.0,1.0,0
