ticker,episode,age,obs_date,gap,horizon,protocol,ret,mdd,first_entry_wait,fresh_wait
SPY,4,150,1999-05-27,0.09361124451014513,6m,DCA3,0.0769537217188474,-0.10289912025800207,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,6m,DCA6,0.08082229361558757,-0.07068138230609378,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,1y,LUMP,0.07963814016844961,-0.11695497580737302,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,1y,HALF,0.039819070084224695,-0.06244686456457427,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,1y,WAIT,0.0,0.0,,
SPY,4,150,1999-05-27,0.09361124451014513,1y,DCA3,0.0508931634898917,-0.11436686586813316,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,1y,DCA6,0.05466812213181438,-0.11436686586813316,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,2y,LUMP,0.04576109417037588,-0.13052612407158803,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,2y,HALF,0.022880547085188052,-0.07127018066085178,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,2y,WAIT,0.0,0.0,,
SPY,4,150,1999-05-27,0.09361124451014513,2y,DCA3,0.017918081641584926,-0.13052612407158803,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,2y,DCA6,0.02157458907027654,-0.13052612407158826,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,3y,LUMP,0.024351974296790146,-0.15103964381220258,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,3y,HALF,0.0019398443080602679,-0.09318172741361441,0.0,699.0
SPY,4,150,1999-05-27,0.09361124451014513,3y,WAIT,-0.020472285680669944,-0.03269553843648698,699.0,699.0
SPY,4,150,1999-05-27,0.09361124451014513,3y,DCA3,-0.0029210281253010395,-0.1510396438122027,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,3y,DCA6,0.0006606222387168792,-0.15103964381220292,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,6m,LUMP,0.1014811281482424,-0.09501913576596965,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,6m,HALF,0.0507405640741212,-0.049003118972758,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,6m,WAIT,0.0,0.0,,
SPY,4,200,1999-08-09,0.06760506774668795,6m,DCA3,0.08195669895608804,-0.07567977175562746,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,6m,DCA6,0.05176512110826437,-0.07567977175562746,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,1y,LUMP,0.1515833591710838,-0.11436686586813305,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,1y,HALF,0.07579167958554178,-0.062169615024672775,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,1y,WAIT,0.0,0.0,,
SPY,4,200,1999-08-09,0.06760506774668795,1y,DCA3,0.13117083717645062,-0.11436686586813316,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,1y,DCA6,0.09960595808031725,-0.11436686586813327,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,2y,LUMP,0.0355881826533373,-0.13052612407158803,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,2y,HALF,0.01779409132666876,-0.0709537576517113,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,2y,WAIT,0.0,0.0,,
SPY,4,200,1999-08-09,0.06760506774668795,2y,DCA3,0.017231746371547896,-0.13052612407158792,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,2y,DCA6,-0.011153707029208593,-0.13052612407158815,0.0,
