strategy,trend_ma,slope_lb,yellow_cap,red_dd,red_target,rec_fast_ma,rec_fast_days,rec_mid_ma,release_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,ActualEra_CAGR,ActualEra_MDD
V2_M150_S20_YC15_RD15_RT15_RF60x5_RM120_RL180,150,20,0.15,-0.15,0.15,60,5,120,180,0.024371119936651642,-0.6152827531149558,0.03960962632752081,1.9267396617684744,7307,-0.5832454708647484,-0.6152827531149558,-0.12870105260517828,-0.3771998807452007,0.0018368852408521263,0.0,-0.05596270613208798,-0.2142655809887687,1.3653269190165855,-0.2142655809887687,0.34690601284296557,0.09745453938324984,208,0.054203490312778824,-0.2142655809887687
V2_M150_S20_YC15_RD15_RT15_RF60x5_RM120_RL200,150,20,0.15,-0.15,0.15,60,5,120,200,0.03539947501390106,-0.673760166129415,0.05254017199808986,2.579232098300841,6979,-0.6304035977134327,-0.673760166129415,-0.1287010526051784,-0.3771998807452006,0.0018368852408516823,0.0,0.06587299306483363,-0.2142655809887687,1.9879089848574125,-0.2142655809887687,0.33887915936952717,0.10757583356953994,213,0.06941501072014078,-0.2142655809887687
V2_M150_S20_YC15_RD20_RT0_RF40x3_RM100_RL180,150,20,0.15,-0.2,0.0,40,3,100,180,0.02093779682814345,-0.4529409868420149,0.046226324038646835,1.758371944140857,6732,-0.42125160848843535,-0.4529409868420149,0.04454928072456377,-0.22336760947962153,0.0018368852408514602,0.0,-0.09534351033631361,-0.18455775067403013,0.7821755662111687,-0.18455775067403013,0.1342673671920607,0.04075762242461867,258,0.036063961622093466,-0.18455775067403013
V2_M150_S20_YC15_RD20_RT0_RF40x3_RM100_RL200,150,20,0.15,-0.2,0.0,40,3,100,200,0.02056925861708203,-0.5772371184969441,0.03563398464506562,1.7411654160698984,7265,-0.5358306614121306,-0.5772371184969441,0.044549280724564655,-0.22336760947961964,0.001836885240850794,0.0,0.021409533163949668,-0.18797415498596148,1.2003568505797193,-0.18797415498596148,0.13543490951546994,0.04779659232617094,269,0.04954082348089095,-0.18797415498596148
V2_M150_S20_YC15_RD20_RT0_RF40x3_RM120_RL180,150,20,0.15,-0.2,0.0,40,3,120,180,0.018788832707294034,-0.527825568064149,0.03559667027158969,1.6602988381794188,6572,-0.4795646695412552,-0.527825568064149,0.08137664853668314,-0.1959861089336059,0.0018368852408510161,0.0,-0.08517212301286758,-0.1646018539204217,0.8075943540075183,-0.1646018539204217,0.13251605370694688,0.041493901224096075,252,0.036963986090287726,-0.1646018539204217
V2_M150_S20_YC15_RD20_RT0_RF40x3_RM120_RL200,150,20,0.15,-0.2,0.0,40,3,120,200,0.029941442598312884,-0.6026167289498063,0.04968571425239473,2.2334236920181807,6416,-0.539989825022148,-0.6026167289498063,0.08137664853668247,-0.19598610893360624,0.0018368852408510161,0.0,0.036793599079365524,-0.17574374656661995,1.2334977597104246,-0.17574374656661995,0.1389375364856976,0.05313083543106806,262,0.050503262331791365,-0.17574374656661995
V2_M150_S20_YC15_RD20_RT0_RF40x5_RM100_RL180,150,20,0.15,-0.2,0.0,40,5,100,180,0.019158523651722215,-0.4662336948604501,0.04109210437365882,1.6767866920583434,6630,-0.4362058967349828,-0.4662336948604501,0.04250409982064962,-0.22678523508430082,0.0018368852408519043,0.0,-0.10695495998908244,-0.17956462226686598,0.7479861550212119,-0.17956462226686598,0.13222416812609458,0.04036498370174463,230,0.03483419416522948,-0.17956462226686598
V2_M150_S20_YC15_RD20_RT0_RF40x5_RM100_RL200,150,20,0.15,-0.2,0.0,40,5,100,200,0.018933988232401777,-0.5875096181901891,0.032227537466922716,1.6667539248216177,7164,-0.5478243398158369,-0.5875096181901891,0.04250409982065073,-0.2267852350843006,0.00183688524085035,0.0,0.008299534501807537,-0.19261483038848282,1.166431712721257,-0.19261483038848282,0.1333917104495038,0.04748033670726284,241,0.04854141190613115,-0.19261483038848282
V2_M150_S20_YC15_RD20_RT0_RF40x5_RM120_RL180,150,20,0.15,-0.2,0.0,40,5,120,180,0.017338733237708404,-0.5365269429436503,0.032316612363546174,1.597120734010469,6883,-0.4830580240534772,-0.5365269429436503,0.04986373253455412,-0.22132666980889748,0.0018368852408512382,0.0,-0.08153617188276518,-0.15853246521118625,0.803106947509771,-0.15853246521118625,0.13047285464098074,0.04111587285618444,225,0.03680596379837908,-0.15853246521118625
V2_M150_S20_YC15_RD20_RT0_RF40x5_RM120_RL200,150,20,0.15,-0.2,0.0,40,5,120,200,0.0286201923167273,-0.6099398294363654,0.04692297655520335,2.1566863213496745,6541,-0.5430775835319519,-0.6099398294363654,0.04986373253455412,-0.22132666980889704,0.00183688524085035,0.0,0.040914298670059246,-0.16649890686178392,1.2365077790198034,-0.16649890686178392,0.13689433741973148,0.05282919016712236,235,0.050590010502350236,-0.16649890686178392
V2_M150_S20_YC15_RD20_RT0_RF60x3_RM100_RL180,150,20,0.15,-0.2,0.0,60,3,100,180,0.01987740236838409,-0.4538574689456991,0.04379657431783343,1.709300665455755,6627,-0.41370765062220294,-0.4538574689456991,0.01819537619137024,-0.22796422382937132,0.0018368852408510161,0.0,-0.10838118441756184,-0.17222117778480694,0.7544119828906961,-0.17222117778480694,0.12945125510799765,0.040005345886530874,210,0.03506703941905265,-0.17222117778480694
V2_M150_S20_YC15_RD20_RT0_RF60x3_RM100_RL200,150,20,0.15,-0.2,0.0,60,3,100,200,0.019694485429801567,-0.5761214784879836,0.03418460544378462,1.7009704272990744,7169,-0.5277482024806155,-0.5761214784879836,0.018195376191369128,-0.22796422382937176,0.0018368852408514602,0.0,0.0066892445803579115,-0.17568926781801075,1.1674570174724668,-0.17568926781801075,0.13076474022183304,0.04706981399219988,223,0.04857183131781917,-0.17568926781801075
V2_M150_S20_YC15_RD20_RT0_RF60x3_RM120_RL180,150,20,0.15,-0.2,0.0,60,3,120,180,0.01832314236603061,-0.5244707336281944,0.03493644390655394,1.6397516791609368,6778,-0.4702852098920425,-0.5244707336281944,0.05409359211621978,-0.20074478476812652,0.0018368852408514602,0.0,-0.08826606695609507,-0.15113771946784493,0.7993484863504372,-0.15113771946784493,0.12828371278458844,0.04084379412652757,212,0.0366733266991186,-0.15113771946784493
V2_M150_S20_YC15_RD20_RT0_RF60x3_RM120_RL200,150,20,0.15,-0.2,0.0,60,3,120,200,0.029494699147405212,-0.5996349978185851,0.04918775464191402,2.2071874257595128,6622,-0.5317877572394478,-0.5996349978185851,0.05409359211621978,-0.20074478476812618,0.0018368852408521263,0.0,0.033287167588872846,-0.15391000465654336,1.2247238063830146,-0.15391000465654336,0.13470519556333918,0.05248433347707283,222,0.05024977110333051,-0.15391000465654336
V2_M150_S20_YC15_RD20_RT0_RF60x5_RM100_RL180,150,20,0.15,-0.2,0.0,60,5,100,180,0.016199196748102107,-0.47859805541654576,0.033847184635974345,1.5491046667567179,7082,-0.43486717464610825,-0.47859805541654576,0.008059482292986475,-0.23906666964860013,0.0018368852408523484,0.0,-0.07155105222764846,-0.17111768692471618,0.666105661722201,-0.17111768692471618,0.12609457092819615,0.038734835957305806,195,0.03179467820783022,-0.17111768692471618
V2_M150_S20_YC15_RD20_RT0_RF60x5_RM100_RL200,150,20,0.15,-0.2,0.0,60,5,100,200,0.01633699044571113,-0.59532343149164,0.027442209698982,1.5548360369511998,8029,-0.5447919576405602,-0.59532343149164,0.008059482292987141,-0.23906666964860002,0.001836885240850572,0.0,0.04827259533976869,-0.17459040018039385,1.076093855958117,-0.17459040018039385,0.1275539988324577,0.0459348506145648,204,0.04580668922689979,-0.17459040018039385
V2_M150_S20_YC15_RD20_RT0_RF60x5_RM120_RL180,150,20,0.15,-0.2,0.0,60,5,120,180,0.016084905796817983,-0.527342246035963,0.03050183427883577,1.5443663116576096,6960,-0.45900547528994606,-0.527342246035963,0.015175950750730527,-0.23369480604430748,0.0018368852408514602,0.0,-0.043633937030694514,-0.15000612278657766,0.7229576380407428,-0.15000612278657766,0.12390542907180385,0.03934727365101306,188,0.03391953869378339,-0.15000612278657766
V2_M150_S20_YC15_RD20_RT0_RF60x5_RM120_RL200,150,20,0.15,-0.2,0.0,60,5,120,200,0.028146395686867276,-0.6022099638317886,0.0467385087881562,2.1297922597470524,6857,-0.5218176564712305,-0.6022099638317886,0.015175950750732747,-0.23369480604430704,0.0018368852408514602,0.0,0.08386969549820256,-0.15000612278657766,1.1825349891794659,-0.15000612278657766,0.12332165791009925,0.05069808304577654,192,0.04901762139277932,-0.15000612278657766
V2_M150_S20_YC15_RD20_RT15_RF40x3_RM100_RL180,150,20,0.15,-0.2,0.15,40,3,100,180,0.006699832069171574,-0.6130606312607756,0.01092849830430832,1.1994615268592543,9201,-0.5805242008937691,-0.6052579718880055,-0.019521325402781176,-0.3031692110734735,0.0018368852408516823,0.0,-0.13598869380293466,-0.23694634286980198,0.7471279551466374,-0.23694634286980198,0.2475189725627554,0.05292847124622244,207,0.034803035773657065,-0.23694634286980198
V2_M150_S20_YC15_RD20_RT15_RF40x3_RM100_RL200,150,20,0.15,-0.2,0.15,40,3,100,200,0.006341056864557215,-0.6844483973711704,0.009264477627403248,1.1878728423963347,9302,-0.6524487949671081,-0.679217009966647,-0.019521325402779732,-0.30316921107347317,0.0018368852408512382,0.0,-0.024480999892598665,-0.23694634286980265,1.121684835868236,-0.23694634286980265,0.24547577349678926,0.05930995556542347,220,0.04720049039890806,-0.23694634286980265
V2_M150_S20_YC15_RD20_RT15_RF40x3_RM120_RL180,150,20,0.15,-0.2,0.15,40,3,120,180,0.0045767827522249505,-0.6362797447971709,0.007193035437084215,1.1324371254168961,9379,-0.6059909844923013,-0.6362797447971709,-0.019521325402779066,-0.3031692110734727,0.0018368852408521263,0.0,-0.13826137434210584,-0.23895346613828916,0.7425323397020016,-0.23895346613828916,0.24737302977232925,0.053666638799029595,207,0.03463593936756615,-0.23895346613828916
V2_M150_S20_YC15_RD20_RT15_RF40x3_RM120_RL200,150,20,0.15,-0.2,0.15,40,3,120,200,0.013923494251946389,-0.691565593709413,0.020133295205251152,1.45734191518492,8266,-0.6505753281139324,-0.691565593709413,-0.019521325402779954,-0.3031692110734733,0.0018368852408510161,0.0,-0.027046988359686774,-0.23895346613828872,1.1161039924207632,-0.23895346613828872,0.24547577349678926,0.06387791011958371,218,0.04703139209483154,-0.23895346613828872
V2_M150_S20_YC15_RD20_RT15_RF40x5_RM100_RL180,150,20,0.15,-0.2,0.15,40,5,100,180,0.005000985940903702,-0.625556751821635,0.007994456020721895,1.1455339802323612,9379,-0.5963175078964496,-0.6201200498675139,-0.01490562397976658,-0.2990891765868662,0.0018368852408521263,0.0,-0.1410447385831829,-0.23264943009278793,0.7257332825601075,-0.23264943009278793,0.2472270869819031,0.052604516330222464,194,0.03402158599909,-0.23264943009278793
V2_M150_S20_YC15_RD20_RT15_RF40x5_RM100_RL200,150,20,0.15,-0.2,0.15,40,5,100,200,0.004888201685911975,-0.6937769180809292,0.007045783101913121,1.1420377082790396,9379,-0.664589811639589,-0.6904229317814616,-0.014905623979766025,-0.2990891765868663,0.0018368852408512382,0.0,-0.03018955154984715,-0.2326494300927887,1.1037504577816533,-0.2326494300927887,0.24518388791593695,0.059031437680258945,207,0.04665558890609933,-0.2326494300927887
V2_M150_S20_YC15_RD20_RT15_RF40x5_RM120_RL180,150,20,0.15,-0.2,0.15,40,5,120,180,0.00309492594576799,-0.6476474266174658,0.004778720363226293,1.087808792033343,9379,-0.6183053086426609,-0.6476474266174658,-0.01490562397976647,-0.2990891765868665,0.0018368852408512382,0.0,-0.14401425145999414,-0.23530225440241437,0.7197672125740491,-0.23530225440241437,0.24708114419147695,0.053341321767575556,196,0.03380205105333767,-0.23530225440241437
V2_M150_S20_YC15_RD20_RT15_RF40x5_RM120_RL200,150,20,0.15,-0.2,0.15,40,5,120,200,0.012570315869437021,-0.7012053763252803,0.01792672488524362,1.4052846768457121,8274,-0.6614962169930705,-0.7012053763252803,-0.014905623979764915,-0.2990891765868662,0.0018368852408521263,0.0,-0.033542304299725156,-0.23530225440241404,1.0964775364147483,-0.23530225440241404,0.24518388791593695,0.06362897876845096,207,0.04643337161291816,-0.23530225440241404
