strategy,trend_ma,slope_lb,yellow_cap,red_dd,red_target,rec_fast_ma,rec_fast_days,rec_mid_ma,release_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,ActualEra_CAGR,ActualEra_MDD,score
V2_M200_S40_YC15_RD15_RT0_RF60x3_RM100_RL180,200,40,0.15,-0.15,0.0,60,3,100,180,0.050571023887095556,-0.20465998643922656,0.2470977584185101,3.8331663339850457,412,0.10756275529000692,-0.04383855446852092,-0.03772131410067725,-0.07976215653812868,0.0018368852408510161,0.0,0.0073378006648952,-0.05723043655532378,1.067877463421508,-0.20465998643922656,0.14929947460595447,0.03962433032706475,275,0.04555244720711471,-0.20465998643922656,0.1757562997109122
V2_M180_S40_YC25_RD15_RT0_RF40x3_RM120_RL180,180,40,0.25,-0.15,0.0,40,3,120,180,0.06829108285399732,-0.11891741796331812,0.574273172287198,6.045191832489749,2422,0.08913417198194273,-0.10828162218057114,0.0790487281735861,-0.11891741796331812,0.0018368852408514602,0.0,-0.022822455152855414,-0.1024374111931462,1.87543083417252,-0.1024374111931462,0.19030939871570343,0.049958754950503025,330,0.06690199278915943,-0.1024374111931462,0.17494869624168807
V2_M180_S20_YC15_RD20_RT0_RF60x3_RM100_RL180,180,20,0.15,-0.2,0.0,60,3,100,180,0.050584090778724944,-0.20441570489030703,0.24745696914955354,3.834465096869991,3273,0.12470835908809796,-0.04383855446852092,-0.02283709952231039,-0.0984345892735804,0.008601746861400361,-0.06326393866503577,0.0005509591587093965,-0.07497115135070243,1.3145591166194293,-0.20441570489030703,0.14127262113251604,0.03427527791076652,257,0.05280200214885822,-0.20441570489030703,0.17378200308103212
V2_M180_S20_YC15_RD20_RT0_RF40x5_RM120_RL180,180,20,0.15,-0.2,0.0,40,5,120,180,0.0519328385084159,-0.20466083178019612,0.2537507448625602,3.9708262557835767,2496,0.10831714628702471,-0.05564385922325443,0.05712211178782223,-0.09053090554239396,0.008601746861401693,-0.06326393866503577,0.009375123804260754,-0.06760973833491657,1.3314548249344589,-0.20466083178019612,0.14886164623467601,0.03488515029264309,275,0.05327159886692523,-0.20466083178019612,0.1729004558736974
V2_M180_S20_YC35_RD15_RT0_RF40x5_RM120_RL180,180,20,0.35,-0.15,0.0,40,5,120,180,0.07913629518513576,-0.20465195557755467,0.38668721714289395,7.959562815268217,2425,0.10899681757192714,-0.1267095127697302,0.041338751701025744,-0.1783945002374936,0.008601746861400805,-0.06326393866503555,0.055289698261482556,-0.10574151844098556,2.121896988039644,-0.20465195557755467,0.23453006421482778,0.07700872430701697,303,0.07229520832840142,-0.20465195557755467,0.17032502639887784
V2_M200_S20_YC15_RD15_RT0_RF40x3_RM100_RL200,200,20,0.15,-0.15,0.0,40,3,100,200,0.05642826332394835,-0.20411002095247532,0.27646003395926855,4.459880471622758,2840,0.015476283542217084,-0.07923176023923117,-0.011154376893061424,-0.09544699905801302,0.0018368852408519043,0.0,-0.008992779641788573,-0.07268488166216247,1.536234694400688,-0.20411002095247532,0.22548161120840632,0.04862051120798413,373,0.058722474007377734,-0.20411002095247532,0.1690062250900149
V2_M200_S20_YC25_RD15_RT0_RF40x5_RM120_RL180,200,20,0.25,-0.15,0.0,40,5,120,180,0.06755897721697823,-0.20465195557755445,0.3301164507630431,5.933364149692371,2854,0.08775092487909752,-0.099717695672488,-0.04361064761461941,-0.15174040506240793,0.0018368852408516823,0.0,0.011781417080336754,-0.07842901214910147,1.8557440864142252,-0.20465195557755445,0.210887332165791,0.05920432867910524,324,0.06645267999537152,-0.20465195557755445,0.1689070873694952
V2_M180_S40_YC15_RD15_RT0_RF60x5_RM100_RL180,180,40,0.15,-0.15,0.0,60,5,100,180,0.05340149314440157,-0.08974761404820719,0.5950185273529098,4.1246210888396515,2496,0.08539286448079841,-0.07129615513367227,0.01006813990437605,-0.08027062652179295,0.0018368852408521263,0.0,0.017277811024189793,-0.05644547132101252,1.2416223786680374,-0.08974761404820719,0.15309398715703446,0.031730417743516884,255,0.050737161260244745,-0.08974761404820719,0.16442889162830954
V2_M180_S40_YC35_RD15_RT0_RF60x3_RM120_RL180,180,40,0.35,-0.15,0.0,60,3,120,180,0.07403126574651919,-0.1654969964903945,0.44732694439452253,6.995175644326888,2425,0.11745733264244151,-0.12670951276973041,0.0520058442817084,-0.1654969964903945,0.001836885240850794,0.0,0.015695489456951428,-0.08448250151662062,2.121870172737468,-0.08974811266286709,0.19366608289550497,0.05689315058089572,285,0.07229464360738658,-0.08974811266286709,0.16401998652795052
V2_M200_S20_YC35_RD15_RT0_RF60x3_RM120_RL180,200,20,0.35,-0.15,0.0,60,3,120,180,0.07437279121209284,-0.20465074186202947,0.3634132499858376,7.0560132283967425,2750,0.1321604753335308,-0.1236952336852799,-0.02748224997868398,-0.16796302367100047,0.0018368852408514602,0.0,0.03595167076550232,-0.06895088346103828,1.9277520312535668,-0.20465074186202947,0.21730881494454174,0.0694476034611003,295,0.06808223601802421,-0.20465074186202947,0.16375827722117214
V2_M200_S40_YC15_RD15_RT0_RF60x5_RM120_RL180,200,40,0.15,-0.15,0.0,60,5,120,180,0.051998378591466166,-0.20467443853715006,0.2540540917718362,3.9775701280011218,2866,0.149289140753325,-0.053128048317799825,-0.0515578555362719,-0.10730202848013626,0.0018368852408512382,0.0,0.04559375817620337,-0.0334150508074772,1.0958338983341895,-0.20467443853715006,0.1306187974314069,0.03694431806098175,257,0.04641367101568661,-0.20467443853715006,0.16266146608555318
V2_M200_S20_YC25_RD15_RT0_RF60x3_RM100_RL200,200,20,0.25,-0.15,0.0,60,3,100,200,0.0633582246315676,-0.2041077221289358,0.3104156176489193,5.329225318547461,1540,-0.00021213369881689648,-0.09409474118864425,-0.03419932286469696,-0.13241934783104814,0.0018368852408516823,0.0,-0.005932656782372092,-0.09999919715739913,1.78334833779896,-0.2041077221289358,0.22475189725627553,0.06305522533485558,314,0.06477499208186677,-0.2041077221289358,0.1606178254177822
V2_M180_S40_YC35_RD15_RT0_RF60x3_RM100_RL180,180,40,0.35,-0.15,0.0,60,3,100,180,0.06690029660456465,-0.13761286412929163,0.4861485663266895,5.834457081883184,2854,0.09776201232880677,-0.10352356971347176,-0.055825124646457724,-0.13761286412929163,0.0018368852408516823,0.0,-0.028026352325906445,-0.13344425647524571,1.9882529006860805,-0.13344425647524571,0.18067717454757734,0.05156383189925619,278,0.0694225574937517,-0.13344425647524571,0.15961702232944716
