strategy,exit_ma,exit_slope_lb,exit_dd,resume_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V8_X80S40D18_R80,80,40,-0.18,80,0.28370015994683895,-0.7179610774225003,0.3951469917635789,899.8917862785701,996,-0.28424537094054436,-0.42647013182127613,-0.387781202575219,-0.6297315720308785,0.6475388370201061,-0.6992207245312605,-0.20603495760967505,-0.49034666595960474,270.8167416490556,-0.7179610774225003,0.41011057212156277,-0.7179610774225003,22,0.794804436660829,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.171940368759413,0.309659516495505,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S40D18_R100,80,40,-0.18,100,0.28528346575284735,-0.7179610774225003,0.3973522726009364,930.6165760883329,996,-0.28424537094054436,-0.42647013182127613,-0.387781202575219,-0.6297315720308785,0.6475388370201061,-0.6992207245312605,-0.20603495760967505,-0.49034666595960474,280.0973155817046,-0.7179610774225003,0.4130162129465591,-0.7179610774225003,22,0.7961179217746643,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.314381929937657,0.3235653217236692,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S50D10_R60,80,50,-0.1,60,0.19424469557678026,-0.6992207245312605,0.27780168516457643,125.8251830781593,2163,-0.5187591651446192,-0.6143846209705777,-0.3583297263954276,-0.6410103479420679,0.6475388370201063,-0.6992207245312605,-0.20549383981953806,-0.49034666595960474,90.45945169643565,-0.6992207245312605,0.3190131475177189,-0.6992207245312605,56,0.7505837711617046,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.631078982402566,0.2568581217908956,2023-01-25,2023-02-28,1.0,1.0000000000000002,0
V8_X80S50D10_R80,80,50,-0.1,80,0.19619678999041557,-0.6992207245312605,0.2805934994589024,131.54879654145267,2169,-0.46089435323709826,-0.5680178961208662,-0.3801089650305939,-0.6531949879687975,0.6475388370201063,-0.6992207245312605,-0.16839664613998362,-0.49034666595960485,89.99395836393707,-0.6992207245312605,0.3186005493312114,-0.6992207245312605,51,0.7310274372446001,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.285457529917613,0.22311695410657895,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S50D10_R100,80,50,-0.1,100,0.19831383992033502,-0.6992207245312605,0.2836212271214923,138.03941188753356,1354,-0.46089435323709826,-0.5680178961208662,-0.36731298500677045,-0.6460361330156328,0.6475388370201061,-0.6992207245312605,-0.16839664613998462,-0.49034666595960474,79.44683245447878,-0.6992207245312605,0.30867792563693164,-0.6992207245312605,51,0.7206654991243433,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.4024113986572813,0.23453453269755634,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S50D12_R60,80,50,-0.12,60,0.21920204223046524,-0.7265450592192,0.3017046767423293,221.01279615196046,2276,-0.5187591651446192,-0.6143846209705777,-0.3583297263954279,-0.6410103479420679,0.6475388370201063,-0.6992207245312605,-0.20549383981953806,-0.49034666595960474,207.60195053808496,-0.6992207245312605,0.38740974399790074,-0.6992207245312605,44,0.7676590776415645,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.8786662514870605,0.47627800555698496,2023-01-25,2023-02-28,1.0,1.0000000000000002,0
V8_X80S50D12_R80,80,50,-0.12,80,0.21254108500159563,-0.7732490351175334,0.2748675722166139,190.3773859436616,3152,-0.46089435323709826,-0.5680178961208662,-0.3801089650305942,-0.6531949879687976,0.6475388370201061,-0.6992207245312605,-0.1683966461399844,-0.49034666595960474,192.43788128502288,-0.6992207245312605,0.3810044841133442,-0.6992207245312605,40,0.7536485697606539,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.319109938236922,0.42165152546309403,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S50D12_R100,80,50,-0.12,100,0.21937095570076504,-0.7390669829517417,0.2968214800025631,221.84830299799694,2975,-0.46089435323709826,-0.5680178961208662,-0.36731298500677034,-0.6460361330156326,0.6475388370201063,-0.6992207245312605,-0.16839664613998384,-0.49034666595960474,194.88554370821785,-0.6992207245312605,0.38206959033212073,-0.6992207245312605,40,0.7501459427904261,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.500719035374251,0.43938104704067826,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S50D15_R60,80,50,-0.15,60,0.25584732693194634,-0.6992207245312605,0.3659035236741013,495.1229672326787,2241,-0.5187591651446192,-0.6143846209705777,-0.35832972639542715,-0.6410103479420677,0.6475388370201063,-0.6992207245312605,-0.20549383981953817,-0.49034666595960474,393.3515031570686,-0.6992207245312605,0.4426527999344936,-0.6992207245312605,35,0.7854640980735552,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.878666251487062,0.47627800555698513,2023-01-25,2023-02-28,1.0,1.0,0
V8_X80S50D15_R80,80,50,-0.15,80,0.25177217002385377,-0.7312925785137645,0.3442837756340158,453.17611385135524,2277,-0.46089435323709826,-0.5680178961208662,-0.3801089650305941,-0.6531949879687973,0.6475388370201061,-0.6992207245312605,-0.16839664613998429,-0.49034666595960474,387.5640889226286,-0.6992207245312605,0.4413456475012971,-0.6992207245312605,31,0.7711617046117922,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.319109938236925,0.4216515254630943,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
