strategy,exit_ma,exit_slope,exit_dd,resume_ma,level_mult,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V10_X80S30D10_R60L0p98,80,30,-0.1,60,0.98,0.16670490428659024,-0.6992207245312605,0.23841527923581626,66.64955190619223,1372,-0.35837306589580487,-0.485868206789998,-0.31899773056867375,-0.5881852632240868,-0.19055709483358796,-0.6992207245312605,-0.08196130219921105,-0.41786163736418147,39.231681290513905,-0.6992207245312605,0.25424144448207575,-0.6992207245312605,58,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.6511760037795664,0.25882008614050783,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V10_X80S30D10_R60L1p00,80,30,-0.1,60,1.0,0.16670490428659024,-0.6992207245312605,0.23841527923581626,66.64955190619223,1372,-0.35837306589580487,-0.485868206789998,-0.31899773056867375,-0.5881852632240868,-0.19055709483358796,-0.6992207245312605,-0.08196130219921105,-0.41786163736418147,39.231681290513905,-0.6992207245312605,0.25424144448207575,-0.6992207245312605,58,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.6511760037795664,0.25882008614050783,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V10_X80S30D10_R60L1p02,80,30,-0.1,60,1.02,0.16670490428659024,-0.6992207245312605,0.23841527923581626,66.64955190619223,1372,-0.35837306589580487,-0.485868206789998,-0.31899773056867375,-0.5881852632240868,-0.19055709483358796,-0.6992207245312605,-0.08196130219921105,-0.41786163736418147,39.231681290513905,-0.6992207245312605,0.25424144448207575,-0.6992207245312605,58,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.6511760037795664,0.25882008614050783,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V10_X80S30D10_R80L0p98,80,30,-0.1,80,0.98,0.17059483013464205,-0.6992207245312605,0.24397850943134503,72.97431296317514,1372,-0.35837306589580487,-0.485868206789998,-0.34211195534601624,-0.6021628647971464,-0.06699853983383319,-0.6992207245312605,-0.08196130219921138,-0.41786163736418136,44.60896917778612,-0.6992207245312605,0.2639259061211918,-0.6992207245312605,57,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.5855983458833354,0.25241809131202475,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S30D10_R80L1p00,80,30,-0.1,80,1.0,0.17059483013464205,-0.6992207245312605,0.24397850943134503,72.97431296317514,1372,-0.35837306589580487,-0.485868206789998,-0.34211195534601624,-0.6021628647971464,-0.06699853983383319,-0.6992207245312605,-0.08196130219921138,-0.41786163736418136,44.60896917778612,-0.6992207245312605,0.2639259061211918,-0.6992207245312605,57,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.5855983458833354,0.25241809131202475,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S30D10_R80L1p02,80,30,-0.1,80,1.02,0.17059483013464205,-0.6992207245312605,0.24397850943134503,72.97431296317514,1372,-0.35837306589580487,-0.485868206789998,-0.34211195534601624,-0.6021628647971464,-0.06699853983383319,-0.6992207245312605,-0.08196130219921138,-0.41786163736418136,44.60896917778612,-0.6992207245312605,0.2639259061211918,-0.6992207245312605,57,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.5855983458833354,0.25241809131202475,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S30D10_R100L0p98,80,30,-0.1,100,0.98,0.1729473296804538,-0.6992207245312605,0.24734296855459084,77.0757823376468,1271,-0.35837306589580487,-0.485868206789998,-0.3285316294461259,-0.5939505891751216,0.027132431917528566,-0.6992207245312605,-0.0819613021992106,-0.41786163736418147,37.38260601397416,-0.6992207245312605,0.2506284126334881,-0.6992207245312605,58,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7132364585294417,0.26487871530031576,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V10_X80S30D10_R100L1p00,80,30,-0.1,100,1.0,0.1729473296804538,-0.6992207245312605,0.24734296855459084,77.0757823376468,1271,-0.35837306589580487,-0.485868206789998,-0.3285316294461259,-0.5939505891751216,0.027132431917528566,-0.6992207245312605,-0.0819613021992106,-0.41786163736418147,37.38260601397416,-0.6992207245312605,0.2506284126334881,-0.6992207245312605,58,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7132364585294417,0.26487871530031576,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V10_X80S30D10_R100L1p02,80,30,-0.1,100,1.02,0.1729473296804538,-0.6992207245312605,0.24734296855459084,77.0757823376468,1271,-0.35837306589580487,-0.485868206789998,-0.3285316294461259,-0.5939505891751216,0.027132431917528566,-0.6992207245312605,-0.0819613021992106,-0.41786163736418147,37.38260601397416,-0.6992207245312605,0.2506284126334881,-0.6992207245312605,58,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7132364585294417,0.26487871530031576,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V10_X80S30D12_R60L0p98,80,30,-0.12,60,0.98,0.17559073069511477,-0.6992207245312605,0.2511234643578768,81.94938295720011,2268,-0.35837306589580487,-0.485868206789998,-0.31899773056867464,-0.5881852632240868,-0.19055709483358796,-0.6992207245312605,-0.0819613021992116,-0.41786163736418147,67.36476842792123,-0.6992207245312605,0.29568482117758577,-0.6992207245312605,49,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.047289156248513,0.49273975486121957,2023-02-03,2023-02-28,1.0,1.0,0
