campaign_full_date,age_td,policy,form,exit_ma,slope_lb,CAGR,MDD,Return,WinWait,DiffCAGR,event_count
2002-12-12,505,L25_50_PB3_XMA90_S30,L25_50_PB3,90,30,0.0026890972566873117,-0.12464557367143847,0.008528433920060197,False,-0.03780107796351673,3
2002-12-12,505,L25_50_PB5_XMA90_S30,L25_50_PB5,90,30,0.01238880111172258,-0.09851086451756508,0.03970414699029989,False,-0.02810137410848146,3
2002-12-12,505,L25_50_PB75_XMA90_S30,L25_50_PB75,90,30,0.01494441012647063,-0.09151093478049721,0.04802642721232098,False,-0.025545765093733408,3
2002-12-12,505,I25_XMA90_S50,I25,90,50,0.01122924016032889,-0.08959013169559915,0.03594301288685253,False,-0.02926093505987515,2
2002-12-12,505,I50_XMA90_S50,I50,90,50,-0.019986726551432077,-0.18521307622941374,-0.06184850919285689,False,-0.060476901771636116,2
2002-12-12,505,L25_50_PB3_XMA90_S50,L25_50_PB3,90,50,-0.0155961466913066,-0.16775246907298125,-0.048492838618433454,False,-0.05608632191151064,3
2002-12-12,505,L25_50_PB5_XMA90_S50,L25_50_PB5,90,50,-0.007385818982922787,-0.14613189872800503,-0.02317007961697992,False,-0.047875994203126826,3
2002-12-12,505,L25_50_PB75_XMA90_S50,L25_50_PB75,90,50,-0.005185726208066677,-0.14025669172587962,-0.016306976861808598,False,-0.045675901428270715,3
2002-12-12,505,I25_XMA100_S10,I25,100,10,0.0192447873749666,-0.07012305818675824,0.06213312494263601,False,-0.02124538784523744,2
2002-12-12,505,I50_XMA100_S10,I50,100,10,-0.0030038740350206705,-0.14517813977544547,-0.009468285081290717,False,-0.04349404925522471,2
2002-12-12,505,L25_50_PB3_XMA100_S10,L25_50_PB3,100,10,0.0023362307591763276,-0.12464557367143847,0.007406498881999735,False,-0.03815394446102771,3
2002-12-12,505,L25_50_PB5_XMA100_S10,L25_50_PB5,100,10,0.012007720291173252,-0.09851086451756508,0.03846705082107782,False,-0.028482454929030787,3
2002-12-12,505,L25_50_PB75_XMA100_S10,L25_50_PB75,100,10,0.014556602718832412,-0.09151093478049721,0.04676062066442732,False,-0.025933572501371627,3
2002-12-12,505,I25_XMA100_S20,I25,100,20,0.019178884870778123,-0.07012305818675824,0.061915968514417274,False,-0.021311290349425915,2
2002-12-12,505,I50_XMA100_S20,I50,100,20,-0.0031421326517422354,-0.14517813977544547,-0.009902597937739288,False,-0.043632307871946274,2
2002-12-12,505,L25_50_PB3_XMA100_S20,L25_50_PB3,100,20,0.00219037676643441,-0.12464557367143847,0.006943007147188762,False,-0.03829979845376963,3
2002-12-12,505,L25_50_PB5_XMA100_S20,L25_50_PB5,100,20,0.011850198276559976,-0.09851086451756508,0.03795598393204047,False,-0.028639976943644063,3
2002-12-12,505,L25_50_PB75_XMA100_S20,L25_50_PB75,100,20,0.014396298837155097,-0.09151093478049721,0.04623769299667857,False,-0.026093876383048942,3
2002-12-12,505,I25_XMA100_S30,I25,100,30,0.010086335356273457,-0.08959013169559915,0.03224501875888475,False,-0.030403839863930582,2
2002-12-12,505,I50_XMA100_S30,I50,100,30,-0.022436515588107997,-0.18521307622941374,-0.06924449744879713,False,-0.06292669080831204,2
2002-12-12,505,L25_50_PB3_XMA100_S30,L25_50_PB3,100,30,-0.018185741112922704,-0.16775246907298125,-0.056385719007557955,False,-0.05867591633312674,3
2002-12-12,505,L25_50_PB5_XMA100_S30,L25_50_PB5,100,30,-0.010190991751696576,-0.14613189872800503,-0.03187312548174992,False,-0.050681166971900615,3
2002-12-12,505,L25_50_PB75_XMA100_S30,L25_50_PB75,100,30,-0.008042433824655748,-0.14025669172587962,-0.025212001965194686,False,-0.04853260904485979,3
2002-12-12,505,I25_XMA100_S50,I25,100,50,0.009690457339653236,-0.09009190118783728,0.030966219634937175,False,-0.030799717880550803,2
2002-12-12,505,I50_XMA100_S50,I50,100,50,-0.023286771083083635,-0.1866456243513388,-0.0718020956966876,False,-0.06377694630328767,2
2002-12-12,505,L25_50_PB3_XMA100_S50,L25_50_PB3,100,50,-0.01908469156020831,-0.16933686576572549,-0.05911514695625997,False,-0.05957486678041235,3
2002-12-12,505,L25_50_PB5_XMA100_S50,L25_50_PB5,100,50,-0.011165056818906782,-0.14794318818008523,-0.034882715827863064,False,-0.05165523203911082,3
2002-12-12,505,L25_50_PB75_XMA100_S50,L25_50_PB75,100,50,-0.009034460025395208,-0.14212405840177778,-0.028291438521024892,False,-0.04952463524559925,3
2002-12-12,505,I25_XMA110_S10,I25,110,10,0.010086335356273457,-0.08959013169559915,0.03224501875888475,False,-0.030403839863930582,2
2002-12-12,505,I50_XMA110_S10,I50,110,10,-0.022436515588107997,-0.18521307622941374,-0.06924449744879713,False,-0.06292669080831204,2
2002-12-12,505,L25_50_PB3_XMA110_S10,L25_50_PB3,110,10,-0.018185741112922704,-0.16775246907298125,-0.056385719007557955,False,-0.05867591633312674,3
2002-12-12,505,L25_50_PB5_XMA110_S10,L25_50_PB5,110,10,-0.010190991751696576,-0.14613189872800503,-0.03187312548174992,False,-0.050681166971900615,3
2002-12-12,505,L25_50_PB75_XMA110_S10,L25_50_PB75,110,10,-0.008042433824655748,-0.14025669172587962,-0.025212001965194686,False,-0.04853260904485979,3
2002-12-12,505,I25_XMA110_S20,I25,110,20,0.009778100467708661,-0.09017182524930711,0.031249238566220194,False,-0.030712074752495377,2
2002-12-12,505,I50_XMA110_S20,I50,110,20,-0.02309845788172571,-0.18669797916276376,-0.07123605783412346,False,-0.06358863310192975,2
2002-12-12,505,L25_50_PB3_XMA110_S20,L25_50_PB3,110,20,-0.01888558579018884,-0.1693636094633436,-0.05851108040148234,False,-0.05937576101039288,3
2002-12-12,505,L25_50_PB5_XMA110_S20,L25_50_PB5,110,20,-0.010949301688710222,-0.14792964260961528,-0.034216644802785856,False,-0.05143947690891426,3
2002-12-12,505,L25_50_PB75_XMA110_S20,L25_50_PB75,110,20,-0.008814723550738757,-0.14210079562691458,-0.027609909399942123,False,-0.049304898770942795,3
2002-12-12,505,I25_XMA110_S30,I25,110,30,0.012888054192322196,-0.09009190118783728,0.04132638810695832,False,-0.027602121027881843,2
2002-12-12,505,I50_XMA110_S30,I50,110,30,-0.016443927616694776,-0.18653932250351746,-0.0510817587526462,False,-0.056934102836898814,2
2002-12-12,505,L25_50_PB3_XMA110_S30,L25_50_PB3,110,30,-0.01185245630622811,-0.16919302210285458,-0.03700273473192828,False,-0.05234263152643215,3
2002-12-12,505,L25_50_PB5_XMA110_S30,L25_50_PB5,110,30,-0.0033325591308848157,-0.14774154529290795,-0.010500572898877958,False,-0.043822734351088855,3
2002-12-12,505,L25_50_PB75_XMA110_S30,L25_50_PB75,110,30,-0.0010584970356428691,-0.14190833297037053,-0.003343437760058965,False,-0.04154867225584691,3
2002-12-12,505,I25_XMA110_S50,I25,110,50,0.015008404215638649,-0.09009190118783728,0.048235404997596376,False,-0.02548177100456539,2
2002-12-12,505,I50_XMA110_S50,I50,110,50,-0.01193715185277755,-0.18653932250351746,-0.0372637249713732,False,-0.05242732707298159,2
2002-12-12,505,L25_50_PB3_XMA110_S50,L25_50_PB3,110,50,-0.0070922976436110785,-0.16919302210285458,-0.022256350060367636,False,-0.04758247286381512,3
2002-12-12,505,L25_50_PB5_XMA110_S50,L25_50_PB5,110,50,0.001817722289436885,-0.1477552582097451,0.0057594558623517145,False,-0.038672452930767154,3
2002-12-12,505,L25_50_PB75_XMA110_S50,L25_50_PB75,110,50,0.004184944561732573,-0.14193176697535526,0.013293951787282765,False,-0.036305230658471466,3
2002-12-12,505,I25_XMA120_S10,I25,120,10,0.01148625533073977,-0.09009190118783728,0.03677585948304607,False,-0.02900391988946427,2
2002-12-12,505,I50_XMA120_S10,I50,120,10,-0.01943681875787051,-0.18653932250351746,-0.06018281600047237,False,-0.05992699397807455,2
2002-12-12,505,L25_50_PB3_XMA120_S10,L25_50_PB3,120,10,-0.015014957272022511,-0.16919302210285458,-0.04671523748150619,False,-0.05550513249222655,3
2002-12-12,505,L25_50_PB5_XMA120_S10,L25_50_PB5,120,10,-0.006756409596058943,-0.14774154529290795,-0.02121001643836662,False,-0.04724658481626298,3
2002-12-12,505,L25_50_PB75_XMA120_S10,L25_50_PB75,120,10,-0.0045447923615684616,-0.14190833297037053,-0.01430142477337637,False,-0.0450349675817725,3
2002-12-12,505,I25_XMA120_S20,I25,120,20,0.009690457339653236,-0.09009190118783728,0.030966219634937175,False,-0.030799717880550803,2
2002-12-12,505,I50_XMA120_S20,I50,120,20,-0.023286771083083635,-0.1866456243513388,-0.0718020956966876,False,-0.06377694630328767,2
2002-12-12,505,L25_50_PB3_XMA120_S20,L25_50_PB3,120,20,-0.01908469156020831,-0.16933686576572549,-0.05911514695625997,False,-0.05957486678041235,3
2002-12-12,505,L25_50_PB5_XMA120_S20,L25_50_PB5,120,20,-0.011165056818906782,-0.14794318818008523,-0.034882715827863064,False,-0.05165523203911082,3
2002-12-12,505,L25_50_PB75_XMA120_S20,L25_50_PB75,120,20,-0.009034460025395208,-0.14212405840177778,-0.028291438521024892,False,-0.04952463524559925,3
2002-12-12,505,I25_XMA120_S30,I25,120,30,0.01229858471479961,-0.09009190118783728,0.039411188048930734,False,-0.02819159050540443,2
2002-12-12,505,I50_XMA120_S30,I50,120,30,-0.017701155750583508,-0.18653932250351746,-0.0549121588687046,False,-0.05819133097078755,2
2002-12-12,505,L25_50_PB3_XMA120_S30,L25_50_PB3,120,30,-0.013180801131533415,-0.16919302210285458,-0.04109047647952502,False,-0.053670976351737454,3
2002-12-12,505,L25_50_PB5_XMA120_S30,L25_50_PB5,120,30,-0.004770466139648599,-0.1477552582097451,-0.015007901295958193,False,-0.04526064135985264,3
2002-12-12,505,L25_50_PB75_XMA120_S30,L25_50_PB75,120,30,-0.002522578507388351,-0.14193176697535526,-0.007955371690879232,False,-0.04301275372759239,3
2002-12-12,505,I25_XMA120_S50,I25,120,50,0.01911313118093072,-0.09009190118783728,0.06169933270434713,False,-0.02137704403927332,2
2002-12-12,505,I50_XMA120_S50,I50,120,50,-0.0032801011292424853,-0.18653932250351746,-0.01033586955786936,False,-0.043770276349446524,2
2002-12-12,505,L25_50_PB3_XMA120_S50,L25_50_PB3,120,50,0.0020448267010000354,-0.16919302210285458,0.006480626603122985,False,-0.038445348519204,3
2002-12-12,505,L25_50_PB5_XMA120_S50,L25_50_PB5,120,50,0.011693001058557861,-0.1477552582097451,0.03744614229203069,False,-0.028797174161646177,3
2002-12-12,505,L25_50_PB75_XMA120_S50,L25_50_PB75,120,50,0.01423632467530278,-0.14193176697535526,0.04571601901338962,False,-0.026253850544901258,3
2002-12-12,505,I25_XMA130_S10,I25,130,10,0.01148625533073977,-0.09009190118783728,0.03677585948304607,False,-0.02900391988946427,2
2002-12-12,505,I50_XMA130_S10,I50,130,10,-0.01943681875787051,-0.18653932250351746,-0.06018281600047237,False,-0.05992699397807455,2
2002-12-12,505,L25_50_PB3_XMA130_S10,L25_50_PB3,130,10,-0.015014957272022511,-0.16919302210285458,-0.04671523748150619,False,-0.05550513249222655,3
2002-12-12,505,L25_50_PB5_XMA130_S10,L25_50_PB5,130,10,-0.006756409596058943,-0.14774154529290795,-0.02121001643836662,False,-0.04724658481626298,3
2002-12-12,505,L25_50_PB75_XMA130_S10,L25_50_PB75,130,10,-0.0045447923615684616,-0.14190833297037053,-0.01430142477337637,False,-0.0450349675817725,3
2002-12-12,505,I25_XMA130_S20,I25,130,20,0.014400057169922542,-0.09009190118783728,0.04624995101747875,False,-0.026090118050281497,2
2002-12-12,505,I50_XMA130_S20,I50,130,20,-0.013227716560190506,-0.18653932250351746,-0.04123463293161045,False,-0.053717891780394544,2
2002-12-12,505,L25_50_PB3_XMA130_S20,L25_50_PB3,130,20,-0.008455175549464955,-0.16919302210285458,-0.02649403953225038,False,-0.048945350769668994,3
