policy,form,exit_ma,slope_lb,campaigns_cur,CAGR_Median_cur,CAGR_Min_cur,MDD_Median_cur,MDD_Worst_cur,WinRate_cur,DiffCAGR_Median_cur,DiffCAGR_Min_cur,n,campaigns_all,CAGR_Median_all,CAGR_Min_all,MDD_Median_all,MDD_Worst_all,WinRate_all,DiffCAGR_Median_all,DiffCAGR_Min_all
I25_XMA120_S20,I25,120,20,2,0.06272945334934843,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03769529255739523,0.004513616684773014,9,3,0.04938229878688083,-0.013784085545601732,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.0559814649453545
I25_XMA110_S20,I25,110,20,2,0.061240225534287984,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03620606474233479,0.004513616684773014,9,3,0.04938229878688083,-0.016555201243012574,-0.09017182524930711,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05875258064276534
I25_XMA110_S50,I25,110,50,2,0.061092970551392844,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03605880975943965,0.004513616684773014,9,3,0.04938229878688083,-0.009572726505385654,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05177010590513842
I25_XMA100_S50,I25,100,50,2,0.06049433174168484,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03546017094973164,0.004513616684773014,9,3,0.04938229878688083,-0.020224666293210847,-0.10347259046473722,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.06242204569296361
I25_XMA90_S50,I25,90,50,2,0.06049433174168484,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03546017094973164,0.004513616684773014,9,3,0.04938229878688083,-0.022492294521603284,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.06468967392135605
L25_50_PB75_XMA90_S20,L25_50_PB75,90,20,2,0.03224749503528035,0.015112691283679869,-0.03275982930808552,-0.06551965861617104,1.0,0.007213334243327152,0.004513616684773014,9,3,0.015788034317743227,-0.06391100013144435,-0.07645301201250387,-0.326501783074881,0.5555555555555556,0.004513616684773014,-0.10610837953119712
L25_50_PB5_XMA90_S20,L25_50_PB5,90,20,2,0.0309336376266226,0.012484976466364373,-0.038900396846976715,-0.07780079369395343,1.0,0.005899476834669404,0.004513616684773014,9,3,0.012484976466364373,-0.04437245041490001,-0.09851086451756508,-0.3392750807077686,0.4444444444444444,-0.0009151744741600076,-0.08656982981465278
L25_50_PB75_XMA120_S10,L25_50_PB75,120,10,2,0.03061740907777699,0.011852519368673153,-0.03275982930808552,-0.06551965861617104,1.0,0.005583248285823794,0.004513616684773014,9,3,0.016412541958740645,-0.0045447923615684616,-0.0762267924930683,-0.25747676512793205,0.5555555555555556,0.004513616684773014,-0.0450349675817725
L25_50_PB5_XMA120_S10,L25_50_PB5,120,10,2,0.02934122263679939,0.009300146486717953,-0.038900396846976715,-0.07780079369395343,1.0,0.004307061844846194,0.004100507004919374,9,3,0.010261352075824792,-0.006756409596058943,-0.13005751356015582,-0.2978696526586836,0.6666666666666666,0.004513616684773014,-0.04944176729900318
I50_XMA90_S20,I50,90,20,2,0.027672519417727637,0.0014621487011416967,-0.06294055712839208,-0.12582082872364253,0.5,0.0026383586257744396,-0.0037374907806568824,9,3,0.0006572225592293979,-0.07589797413163835,-0.14517813977544547,-0.31672480618327614,0.3333333333333333,-0.004225713296612366,-0.11809535353139111
L25_50_PB3_XMA90_S20,L25_50_PB3,90,20,2,0.027471855670853307,0.005561412554825784,-0.05435731764770857,-0.10871463529541714,1.0,0.0024376948789001096,0.00036177307302720507,9,3,0.0038068217275544214,-0.061018830345222375,-0.12372489783664009,-0.32860128833319313,0.4444444444444444,-0.003439087216605019,-0.10321620974497514
I25_XMA90_S20,I25,90,20,2,0.0263611056580636,0.0033399125292463694,-0.03143534531853143,-0.06287069063706285,0.5,0.0013269448661104022,-0.0018597269525522098,9,3,0.01582819710025829,-0.016555201243012574,-0.06907570284106501,-0.21502279148807657,0.3333333333333333,-0.002100237097453883,-0.05875258064276534
L25_50_PB3_XMA120_S10,L25_50_PB3,120,10,2,0.025989765456706282,0.0025972321265317344,-0.05435731764770857,-0.10871463529541714,0.5,0.0009556046647530847,-0.0026024073552668447,9,3,0.007524837390473493,-0.015014957272022511,-0.15392684630969544,-0.2924771489575301,0.4444444444444444,-0.0026024073552668447,-0.05550513249222655
I25_XMA120_S10,I25,120,10,2,0.025667599720673007,0.001952900654465184,-0.03143534531853143,-0.06287069063706285,0.5,0.0006334389287198094,-0.0032467388273333952,9,3,0.01582819710025829,-0.0012139696907809139,-0.06907570284106501,-0.21502279148807657,0.4444444444444444,-0.0032467388273333952,-0.02900391988946427
L25_50_PB75_XMA90_S10,L25_50_PB75,90,10,2,0.025093432978096186,0.000804567169311543,-0.03275982930808552,-0.06551965861617104,0.5,5.9272186142989014e-05,-0.004395072312487036,9,3,0.010636352753766065,-0.008616499745684014,-0.07534012923459488,-0.28031756552206166,0.3333333333333333,-0.004100322660734346,-0.05081387914543678
I25_XMA130_S10,I25,130,10,2,0.024982295168600732,0.000582291550320635,-0.017078241943477068,-0.034156483886954137,0.5,-5.186562335246503e-05,-0.004617347931477944,9,3,0.01148625533073977,-0.008510256071347477,-0.07556703411375709,-0.21502279148807657,0.3333333333333333,-0.004617347931477944,-0.03283878832428
L25_50_PB5_XMA130_S10,L25_50_PB5,130,10,2,0.024982295168600732,0.000582291550320635,-0.017078241943477068,-0.034156483886954137,0.5,-5.186562335246503e-05,-0.004617347931477944,9,3,0.007371563379873658,-0.019325282221153484,-0.14434740020928305,-0.2978696526586836,0.4444444444444444,-0.004617347931477944,-0.05793067392519935
L25_50_PB75_XMA130_S10,L25_50_PB75,130,10,2,0.024982295168600732,0.000582291550320635,-0.017078241943477068,-0.034156483886954137,0.5,-5.186562335246503e-05,-0.004617347931477944,9,3,0.00632963220935201,-0.017602884714890576,-0.12902458065544353,-0.28031756552206166,0.4444444444444444,-0.004617347931477944,-0.05081387914543678
