policy,form,exit_ma,slope_lb,n,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate,DiffCAGR_Median,DiffCAGR_Min
I50_XMA90_S30,I50,90,30,9,3,-0.002669374678381242,-0.049932729950286414,-0.14770122882157277,-0.31657953910795433,0.4444444444444444,-0.010655649789083177,-0.09213010935003918
I50_XMA90_S50,I50,90,50,9,3,0.05388289013431358,-0.0879027206662969,-0.20469098381692152,-0.3411325832304861,0.5555555555555556,0.009014208032205762,-0.13010010006604966
L25_50_PB3_XMA100_S10,L25_50_PB3,100,10,9,3,0.0038227100561012417,-0.059370301782660784,-0.12372489783664009,-0.3273439795461486,0.4444444444444444,-0.009643797374066065,-0.10156768118241355
L25_50_PB3_XMA100_S20,L25_50_PB3,100,20,9,3,0.04938229878688083,-0.0509032879835003,-0.15411244899148369,-0.32845069326881793,0.5555555555555556,0.004513616684773014,-0.09310066738325307
L25_50_PB3_XMA100_S30,L25_50_PB3,100,30,9,3,0.04938229878688083,-0.07125555697926622,-0.20979463804270249,-0.3367394313116119,0.5555555555555556,0.004513616684773014,-0.11345293637901899
L25_50_PB3_XMA100_S50,L25_50_PB3,100,50,9,3,0.04938229878688083,-0.06897120127664425,-0.20995134674943894,-0.3539292214503984,0.5555555555555556,0.004513616684773014,-0.11116858067639701
L25_50_PB3_XMA110_S10,L25_50_PB3,110,10,9,3,0.04938229878688083,-0.02246107680210052,-0.16775246907298125,-0.3091089099484695,0.5555555555555556,0.004513616684773014,-0.06465845620185329
L25_50_PB3_XMA110_S20,L25_50_PB3,110,20,9,3,0.04938229878688083,-0.061018830345222375,-0.1693636094633436,-0.32860128833319313,0.5555555555555556,0.004513616684773014,-0.10321620974497514
L25_50_PB3_XMA110_S30,L25_50_PB3,110,30,9,3,0.04938229878688083,-0.05202559167913323,-0.20979463804270249,-0.32845069326881793,0.5555555555555556,0.004513616684773014,-0.094222971078886
L25_50_PB3_XMA110_S50,L25_50_PB3,110,50,9,3,0.04938229878688083,-0.045903807021788645,-0.20979463804270249,-0.3539292214503984,0.5555555555555556,0.004513616684773014,-0.08810118642154141
L25_50_PB3_XMA120_S10,L25_50_PB3,120,10,9,3,0.007524837390473493,-0.015014957272022511,-0.15392684630969544,-0.2924771489575301,0.4444444444444444,-0.0026024073552668447,-0.05550513249222655
L25_50_PB3_XMA120_S20,L25_50_PB3,120,20,9,3,0.04938229878688083,-0.05501749337940931,-0.20979463804270249,-0.32377187672596575,0.5555555555555556,0.004513616684773014,-0.09721487277916208
L25_50_PB3_XMA120_S30,L25_50_PB3,120,30,9,3,0.04938229878688083,-0.0509032879835003,-0.20979463804270249,-0.32845069326881793,0.5555555555555556,0.004513616684773014,-0.09310066738325307
L25_50_PB3_XMA120_S50,L25_50_PB3,120,50,9,3,0.05470579970811751,-0.045903807021788645,-0.21246999672299882,-0.3539292214503984,0.5555555555555556,0.008196406138721857,-0.08810118642154141
L25_50_PB3_XMA130_S10,L25_50_PB3,130,10,9,3,-0.000355897092076507,-0.02155821825260773,-0.167375360720471,-0.2924771489575301,0.3333333333333333,-0.005555536573875086,-0.06324768151850446
L25_50_PB3_XMA130_S20,L25_50_PB3,130,20,9,3,-0.008455175549464955,-0.037296439092744604,-0.167375360720471,-0.32719272309451475,0.3333333333333333,-0.014547673836026176,-0.07949381849249737
L25_50_PB3_XMA130_S30,L25_50_PB3,130,30,9,3,-0.0076102745403126,-0.05202559167913323,-0.17729875007549967,-0.32845069326881793,0.3333333333333333,-0.018588922896184745,-0.094222971078886
L25_50_PB3_XMA130_S50,L25_50_PB3,130,50,9,3,0.046755210828660854,-0.045903807021788645,-0.2297421179500495,-0.3539292214503984,0.5555555555555556,0.0018865287265530384,-0.08810118642154141
L25_50_PB3_XMA90_S10,L25_50_PB3,90,10,9,3,-0.005031126151446408,-0.014693730132537941,-0.12173478816034233,-0.2821225162775287,0.3333333333333333,-0.009914062007288171,-0.0595251077409239
L25_50_PB3_XMA90_S20,L25_50_PB3,90,20,9,3,0.0038068217275544214,-0.061018830345222375,-0.12372489783664009,-0.32860128833319313,0.4444444444444444,-0.003439087216605019,-0.10321620974497514
