date,reason,target,price,notional,fee,campaign_full_date,start_date,age_td,policy
2006-02-07,EARLY_EXIT_MA60_3D,0.0,0.491243,-0.44792447154946075,0.00022396223577473038,2002-12-12,2005-12-13,756,I50_X60_3D
2005-12-14,INITIAL,0.5,0.548438,0.5000759325377525,0.00025003796626887626,2002-12-12,2005-12-13,756,I50_X80_3D
2006-02-14,EARLY_EXIT_MA80_3D,0.0,0.499313,-0.45528284710983347,0.00022764142355491675,2002-12-12,2005-12-13,756,I50_X80_3D
2005-12-14,INITIAL,0.5,0.548438,0.5000759325377525,0.00025003796626887626,2002-12-12,2005-12-13,756,I50_X100_3D
2006-03-10,EARLY_EXIT_MA100_3D,0.0,0.48167,-0.4391956327341637,0.00021959781636708185,2002-12-12,2005-12-13,756,I50_X100_3D
2005-12-14,INITIAL,0.5,0.548438,0.5000759325377525,0.00025003796626887626,2002-12-12,2005-12-13,756,I50_X110NEG20
2006-05-19,EARLY_EXIT_MA110_NEG20,0.0,0.426929,-0.3892817744255689,0.00019464088721278443,2002-12-12,2005-12-13,756,I50_X110NEG20
2005-12-14,INITIAL,0.25,0.548438,0.25003796626887625,0.00012501898313443813,2002-12-12,2005-12-13,756,L25_50_PB5_X60
2006-02-06,ADD_PB5,0.5,0.498041,0.2636131428982001,0.00013180657144910005,2002-12-12,2005-12-13,756,L25_50_PB5_X60
2006-02-07,EARLY_EXIT_MA60_3D,0.0,0.491243,-0.48397719670513667,0.00024198859835256834,2002-12-12,2005-12-13,756,L25_50_PB5_X60
2005-12-14,INITIAL,0.25,0.548438,0.25003796626887625,0.00012501898313443813,2002-12-12,2005-12-13,756,L25_50_PB5_X80
2006-02-06,ADD_PB5,0.5,0.498041,0.2636131428982001,0.00013180657144910005,2002-12-12,2005-12-13,756,L25_50_PB5_X80
2006-02-14,EARLY_EXIT_MA80_3D,0.0,0.499313,-0.49192783615935887,0.0002459639180796794,2002-12-12,2005-12-13,756,L25_50_PB5_X80
2005-12-14,INITIAL,0.25,0.548438,0.25003796626887625,0.00012501898313443813,2002-12-12,2005-12-13,756,L25_50_PB5_X100
2006-02-06,ADD_PB5,0.5,0.498041,0.2636131428982001,0.00013180657144910005,2002-12-12,2005-12-13,756,L25_50_PB5_X100
2006-03-10,EARLY_EXIT_MA100_3D,0.0,0.48167,-0.47454578759791627,0.00023727289379895815,2002-12-12,2005-12-13,756,L25_50_PB5_X100
2005-12-14,INITIAL,0.25,0.548438,0.25003796626887625,0.00012501898313443813,2002-12-12,2005-12-13,756,L25_50_PB5_X110NEG20
2006-02-06,ADD_PB5,0.5,0.498041,0.2636131428982001,0.00013180657144910005,2002-12-12,2005-12-13,756,L25_50_PB5_X110NEG20
2006-05-19,EARLY_EXIT_MA110_NEG20,0.0,0.426929,-0.42061444257145103,0.00021030722128572552,2002-12-12,2005-12-13,756,L25_50_PB5_X110NEG20
