campaign_full_date,start_date,exit_date,age_td,policy,CAGR,MDD,Return,DiffCAGR_vs_Wait,Win_vs_Wait,event_count
2009-04-22,2011-04-21,2018-12-21,505,HOLD50,0.23069770783589094,-0.5197377081578636,3.9131495308721975,0.2264113400853096,True,2
2009-04-22,2011-04-21,2018-12-21,505,HOLD100,0.3276620240705581,-0.5475367824704787,7.789075920563732,0.3233756563199768,True,2
2009-04-22,2011-04-21,2018-12-21,505,I25_X60_3D,0.0018809531638366295,-0.03399355573423413,0.014515592948803668,-0.002405414586744703,False,2
2009-04-22,2011-04-21,2018-12-21,505,I25_X80_3D,0.0018809531638366295,-0.03399355573423413,0.014515592948803668,-0.002405414586744703,False,2
2009-04-22,2011-04-21,2018-12-21,505,I25_X100_3D,0.0018809531638366295,-0.03399355573423413,0.014515592948803668,-0.002405414586744703,False,2
2009-04-22,2011-04-21,2018-12-21,505,I25_X110NEG20,5.38692034794952e-05,-0.06513515293786998,0.0004131905369166855,-0.004232498547101837,False,2
2009-04-22,2011-04-21,2018-12-21,505,I25_XDD63_10,-0.005555360567808809,-0.10339535035938474,-0.04182242540759207,-0.009841728318390142,False,2
2009-04-22,2011-04-21,2018-12-21,505,I50_X60_3D,-0.0005636032157957382,-0.06737714995573374,-0.004314089960707701,-0.004849970966377071,False,2
2009-04-22,2011-04-21,2018-12-21,505,I50_X80_3D,-0.0005636032157957382,-0.06737714995573374,-0.004314089960707701,-0.004849970966377071,False,2
2009-04-22,2011-04-21,2018-12-21,505,I50_X100_3D,-0.0005636032157957382,-0.06737714995573374,-0.004314089960707701,-0.004849970966377071,False,2
2009-04-22,2011-04-21,2018-12-21,505,I50_X110NEG20,-0.004301572022926803,-0.12910892020205222,-0.03251889478447434,-0.008587939773508135,False,2
2009-04-22,2011-04-21,2018-12-21,505,L25_50_PB5_X60,0.0018809531638366295,-0.03399355573423413,0.014515592948803668,-0.002405414586744703,False,2
2009-04-22,2011-04-21,2018-12-21,505,L25_50_PB5_X80,0.0018809531638366295,-0.03399355573423413,0.014515592948803668,-0.002405414586744703,False,2
2009-04-22,2011-04-21,2018-12-21,505,L25_50_PB5_X100,0.0018809531638366295,-0.03399355573423413,0.014515592948803668,-0.002405414586744703,False,2
2009-04-22,2011-04-21,2018-12-21,505,L25_50_PB5_X110NEG20,0.0005438380776068286,-0.09164814800083332,0.004178198382790876,-0.003742529672974504,False,3
2009-04-22,2011-04-21,2018-12-21,505,WAIT_NEXT,0.0042863677505813325,0.0,0.033345275858313705,0.0,False,0
2009-04-22,2012-04-20,2018-12-21,756,HOLD25,0.15559575003442783,-0.45967985013022883,1.623534589079866,0.15071281417858606,True,2
2009-04-22,2012-04-20,2018-12-21,756,HOLD50,0.24069357064455765,-0.5148031592068947,3.21404800166579,0.2358106347887159,True,2
2009-04-22,2012-04-20,2018-12-21,756,HOLD100,0.34976201561180686,-0.5475367824704787,6.391895389731021,0.3448790797559651,True,2
2009-04-22,2012-04-20,2018-12-21,756,I25_X60_3D,0.0034202619769980735,-0.03316666633168586,0.02303393353066796,-0.00146267387884369,False,2
2009-04-22,2012-04-20,2018-12-21,756,I25_X80_3D,0.002006397526781889,-0.04220618660345232,0.01345810072014375,-0.0028765383290598745,False,2
2009-04-22,2012-04-20,2018-12-21,756,I25_X100_3D,0.00012038882109965954,-0.07063658485380442,0.0008032123085957021,-0.004762547034742104,False,2
2009-04-22,2012-04-20,2018-12-21,756,I25_X110NEG20,0.07638292718080031,-0.22878770520725933,0.6338188513883896,0.07149999132495855,True,2
2009-04-22,2012-04-20,2018-12-21,756,I25_XDD63_10,0.00012038882109965954,-0.07063658485380442,0.0008032123085957021,-0.004762547034742104,False,2
2009-04-22,2012-04-20,2018-12-21,756,I50_X60_3D,0.001945399095048428,-0.06481885505343321,0.013046690567387609,-0.0029375367607933356,False,2
2009-04-22,2012-04-20,2018-12-21,756,I50_X80_3D,-0.0009177356860299302,-0.08248864074689044,-0.006104975053652928,-0.005800671541871694,False,2
2009-04-22,2012-04-20,2018-12-21,756,I50_X100_3D,-0.004774319700288965,-0.13804376902601823,-0.03141475187674858,-0.009657255556130728,False,2
2009-04-22,2012-04-20,2018-12-21,756,I50_X110NEG20,0.12812668734966737,-0.30797048017168016,1.2346165262828381,0.1232437514938256,True,2
2009-04-22,2012-04-20,2018-12-21,756,L25_50_PB5_X60,0.0034202619769980735,-0.03316666633168586,0.02303393353066796,-0.00146267387884369,False,2
2009-04-22,2012-04-20,2018-12-21,756,L25_50_PB5_X80,0.002006397526781889,-0.04220618660345232,0.01345810072014375,-0.0028765383290598745,False,2
2009-04-22,2012-04-20,2018-12-21,756,L25_50_PB5_X100,-0.0017274728764559155,-0.10094498493638204,-0.01146518302115973,-0.006610408732297679,False,3
2009-04-22,2012-04-20,2018-12-21,756,L25_50_PB5_X110NEG20,0.13596167585567587,-0.3124366401792579,1.3401858981235661,0.1310787399998341,True,3
2009-04-22,2012-04-20,2018-12-21,756,WAIT_NEXT,0.0048829358558417635,0.0,0.03302117649394232,0.0,False,0
2009-04-22,2012-10-15,2018-12-21,879,HOLD25,0.1549481971380786,-0.45155567754161907,1.4365400032186715,0.14974855765628003,True,2
2009-04-22,2012-10-15,2018-12-21,879,HOLD50,0.2431614741712682,-0.5113813910908107,2.8404985894018013,0.23796183468946963,True,2
2009-04-22,2012-10-15,2018-12-21,879,HOLD100,0.35846674433278225,-0.5475367824704787,5.645609247852648,0.35326710485098367,True,2
2009-04-22,2012-10-15,2018-12-21,879,I25_X60_3D,0.0002388006786961938,-0.030100618924277067,0.00147722590897148,-0.004960838803102385,False,2
2009-04-22,2012-10-15,2018-12-21,879,I25_X80_3D,-0.00012758958055958391,-0.03229108562688687,-0.0007885228190972482,-0.005327229062358163,False,2
2009-04-22,2012-10-15,2018-12-21,879,I25_X100_3D,0.0002524708571443046,-0.032182124232086995,0.0015618452373946656,-0.0049471686246542745,False,2
2009-04-22,2012-10-15,2018-12-21,879,I25_X110NEG20,0.07309815228169514,-0.21932962036036407,0.5467460177295029,0.06789851279989656,True,2
2009-04-22,2012-10-15,2018-12-21,879,I25_XDD63_10,-0.003156192952225134,-0.05228945448032862,-0.01935332675162893,-0.008355832434023713,False,2
2009-04-22,2012-10-15,2018-12-21,879,I50_X60_3D,-0.004852917129994028,-0.06022405552578847,-0.02962696521760244,-0.010052556611792607,False,2
2009-04-22,2012-10-15,2018-12-21,879,I50_X80_3D,-0.005606098011799787,-0.06460895727558169,-0.03415846267374467,-0.010805737493598366,False,2
2009-04-22,2012-10-15,2018-12-21,879,I50_X100_3D,-0.004824845104465569,-0.06439103448598194,-0.029457726560762953,-0.010024484586264149,False,2
2009-04-22,2012-10-15,2018-12-21,879,I50_X110NEG20,0.12408874278615567,-0.3021272629437828,1.0609106184234558,0.11888910330435709,True,2
2009-04-22,2012-10-15,2018-12-21,879,L25_50_PB5_X60,0.0002388006786961938,-0.030100618924277067,0.00147722590897148,-0.004960838803102385,False,2
2009-04-22,2012-10-15,2018-12-21,879,L25_50_PB5_X80,-0.00012758958055958391,-0.03229108562688687,-0.0007885228190972482,-0.005327229062358163,False,2
2009-04-22,2012-10-15,2018-12-21,879,L25_50_PB5_X100,0.0002524708571443046,-0.032182124232086995,0.0015618452373946656,-0.0049471686246542745,False,2
2009-04-22,2012-10-15,2018-12-21,879,L25_50_PB5_X110NEG20,0.14739632070363284,-0.314511159322467,1.3396998739083887,0.14219668122183426,True,3
2009-04-22,2012-10-15,2018-12-21,879,WAIT_NEXT,0.005199639481798579,0.0,0.03258141703554718,0.0,False,0
2009-04-22,2013-04-25,2018-12-21,1009,HOLD25,0.16378800044298347,-0.4477203577243908,1.3583954027069987,0.15817219730614207,True,2
2009-04-22,2013-04-25,2018-12-21,1009,HOLD50,0.2593044663526316,-0.5097396217490201,2.6846067321962117,0.2536886632157902,True,2
2009-04-22,2013-04-25,2018-12-21,1009,HOLD100,0.38589733903557755,-0.5475367824704787,5.334378294064211,0.38028153589873614,True,2
2009-04-22,2013-04-25,2018-12-21,1009,I25_X60_3D,0.006702362786142668,-0.049848240601096605,0.038508486621726234,0.0010865596493012664,True,2
2009-04-22,2013-04-25,2018-12-21,1009,I25_X80_3D,0.04525810701347521,-0.07318298685339841,0.2845123534868932,0.03964230387663381,True,2
2009-04-22,2013-04-25,2018-12-21,1009,I25_X100_3D,0.04525810701347521,-0.07318298685339841,0.2845123534868932,0.03964230387663381,True,2
2009-04-22,2013-04-25,2018-12-21,1009,I25_X110NEG20,0.07560970778694198,-0.21502279148807657,0.5102727554579618,0.06999390465010058,True,2
2009-04-22,2013-04-25,2018-12-21,1009,I25_XDD63_10,0.06744216966751648,-0.21035628590696398,0.4465395037485005,0.06182636653067508,True,2
2009-04-22,2013-04-25,2018-12-21,1009,I50_X60_3D,0.00778348878789159,-0.09491622142494505,0.04483290002567464,0.0021676856510501885,True,2
2009-04-22,2013-04-25,2018-12-21,1009,I50_X80_3D,0.07893082786542749,-0.11876179479960558,0.5368406337559939,0.07331502472858609,True,2
2009-04-22,2013-04-25,2018-12-21,1009,I50_X100_3D,0.07893082786542749,-0.11876179479960558,0.5368406337559939,0.07331502472858609,True,2
2009-04-22,2013-04-25,2018-12-21,1009,I50_X110NEG20,0.12919819391979637,-0.29937520790863137,0.9883614376981333,0.12358239078295497,True,2
2009-04-22,2013-04-25,2018-12-21,1009,L25_50_PB5_X60,0.006702362786142668,-0.049848240601096605,0.038508486621726234,0.0010865596493012664,True,2
2009-04-22,2013-04-25,2018-12-21,1009,L25_50_PB5_X80,0.07695870419893502,-0.11781650109484876,0.5210183071779357,0.07134290106209362,True,3
2009-04-22,2013-04-25,2018-12-21,1009,L25_50_PB5_X100,0.07695870419893502,-0.11781650109484876,0.5210183071779357,0.07134290106209362,True,3
2009-04-22,2013-04-25,2018-12-21,1009,L25_50_PB5_X110NEG20,0.12674565362077495,-0.2978696526586836,0.9640565042609597,0.12112985048393354,True,3
2009-04-22,2013-04-25,2018-12-21,1009,WAIT_NEXT,0.005615803136841402,0.0,0.0321840732177876,0.0,False,0
