strategy,soft_ma,soft_slope,soft_dd,soft_w,hard_ma,hard_slope,hard_dd,recover_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V9_SM80S20D10W35_HM150S20D22_R80,80,20,-0.1,0.35,150,20,-0.22,80,0.22043989357224536,-0.6992207245312605,0.31526510276139563,227.2066355927781,1270,-0.4014826001908791,-0.4432572980199344,-0.25528606678799115,-0.532656389040579,-0.0809073115972958,-0.6992207245312605,-0.16794035299113785,-0.4593539899340492,112.2782296748189,-0.6992207245312605,0.33642998804924185,-0.6992207245312605,69,0.7810858143607706,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799885,0.31365231061552695,2023-02-03,2023-02-28,1.0,1.0,0
V9_SM80S20D10W35_HM150S20D25_R80,80,20,-0.1,0.35,150,20,-0.25,80,0.2170833084886945,-0.6992207245312605,0.3104646370918447,210.78684129010708,1270,-0.4014826001908791,-0.4432572980199344,-0.4964873681416222,-0.6801858453168855,0.07385622816511694,-0.6992207245312605,-0.20539301310054192,-0.4836895424720149,154.43472429039005,-0.6992207245312605,0.3626073845208777,-0.6992207245312605,67,0.8152364273204904,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799882,0.31365231061552673,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W35_HM150S20D30_R80,80,20,-0.1,0.35,150,20,-0.3,80,0.2060707034195184,-0.6992207245312605,0.2947148106310248,164.5604952977615,1270,-0.4816883701957184,-0.5178649487267093,-0.5176472984734508,-0.6986384759847717,0.07385622816511717,-0.6992207245312605,-0.252233591794901,-0.5141250672223406,145.27214133429374,-0.6992207245312605,0.35754083760501154,-0.6992207245312605,67,0.8213660245183888,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799885,0.31365231061552695,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W35_HM150S40D22_R80,80,20,-0.1,0.35,150,40,-0.22,80,0.23490503460456535,-0.6992207245312605,0.33595262034322515,313.1812234724206,1270,-0.420969623803363,-0.46138418653315694,-0.2615247524935167,-0.5352632140170963,0.07385622816511717,-0.6992207245312605,-0.16794035299113852,-0.45935398993404963,161.7609169793843,-0.6992207245312605,0.366460647503396,-0.6992207245312605,65,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799883,0.3136523106155268,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W35_HM150S40D25_R80,80,20,-0.1,0.35,150,40,-0.25,80,0.21440001549085652,-0.6992207245312605,0.3066270892279183,198.48878243029145,1270,-0.45032265439179087,-0.4886884646816565,-0.4837360684340274,-0.6800682742563725,0.07385622816511694,-0.6992207245312605,-0.2053930131005417,-0.4836895424720149,154.43472429039014,-0.6992207245312605,0.36260738452087793,-0.6992207245312605,67,0.815820198482195,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799883,0.3136523106155268,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W35_HM150S40D30_R80,80,20,-0.1,0.35,150,40,-0.3,80,0.2060707034195184,-0.6992207245312605,0.2947148106310248,164.5604952977615,1270,-0.4816883701957184,-0.5178649487267093,-0.5176472984734508,-0.6986384759847717,0.07385622816511717,-0.6992207245312605,-0.252233591794901,-0.5141250672223406,145.27214133429374,-0.6992207245312605,0.35754083760501154,-0.6992207245312605,67,0.8213660245183888,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799885,0.31365231061552695,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W50_HM110S20D22_R80,80,20,-0.1,0.5,110,20,-0.22,80,0.20406437164811297,-0.6992207245312605,0.2918454280440736,157.26488189507856,1262,-0.276648611917959,-0.382712374597607,-0.395538793946439,-0.6646743578305123,-0.10769070513942947,-0.6992207245312605,-0.21868480865612128,-0.4923261303170926,64.36450931499314,-0.6992207245312605,0.2921244862892074,-0.6992207245312605,50,0.7597781669585523,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.2981827046366603,0.1267346109655398,2023-02-03,2023-02-28,0.0,1.0,0
V9_SM80S20D10W50_HM110S20D25_R80,80,20,-0.1,0.5,110,20,-0.25,80,0.25260011127890913,-0.6992207245312605,0.36125947417855175,461.4112078405572,1262,-0.2893716859387099,-0.38789848320584275,-0.4683766392196528,-0.6802862214784219,0.20624452251626813,-0.6992207245312605,-0.2721886088124117,-0.5270912053713288,220.95737512907107,-0.6992207245312605,0.39269880994015094,-0.6992207245312605,46,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.930790585730901,0.3837419909311154,2023-02-03,2023-02-28,1.0,1.0,0
V9_SM80S20D10W50_HM110S20D30_R80,80,20,-0.1,0.5,110,20,-0.3,80,0.23866870016331898,-0.707869311149146,0.33716492070530263,340.2450392985881,1262,-0.3846011498351716,-0.4699246256225258,-0.5014840155761691,-0.707869311149146,0.20624452251626857,-0.6992207245312605,-0.3391037212329262,-0.5705705264432237,200.55057346430286,-0.6992207245312605,0.3844875971846027,-0.6992207245312605,46,0.8312901342673672,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.930790585730904,0.38374199093111566,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W50_HM110S40D22_R80,80,20,-0.1,0.5,110,40,-0.22,80,0.24010011617002358,-0.7092805670117949,0.33851218733027955,351.11817533530524,1262,-0.276648611917959,-0.382712374597607,-0.51963617376793,-0.7092805670117949,0.20624452251626857,-0.6992207245312605,-0.21868480865612105,-0.4923261303170924,182.6376392330845,-0.6992207245312605,0.3766091384687744,-0.6992207245312605,50,0.8073555166374781,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.930790585730902,0.3837419909311155,2023-02-03,2023-02-28,1.0,1.0,0
