strategy,soft_ma,soft_slope,soft_dd,soft_w,hard_ma,hard_slope,hard_dd,recover_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,score
V9_SM110S20D12W50_HM120S20D25_R80,110,20,-0.12,0.5,120,20,-0.25,80,0.261489136285316,-0.7375965005863068,0.35451515303755016,559.414755289776,1354,-0.24995614203275152,-0.39899437946564187,-0.502830909593726,-0.7375965005863068,0.2718508116506084,-0.6992207245312605,-0.27714769731916056,-0.5303134640451823,291.88835694911205,-0.6992207245312605,0.41658064428212715,-0.6992207245312605,40,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.851656197698354,0.5712657926119532,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8751871568794594
V9_SM80S40D15W35_HM120S40D25_R80,80,40,-0.15,0.35,120,40,-0.25,80,0.2672445087722848,-0.7168492170008938,0.3728043533204439,633.254427227685,1358,-0.24995614203275152,-0.39899437946564187,-0.5321584026744848,-0.7168492170008938,0.6475388370201061,-0.6992207245312605,-0.31418434879994006,-0.554378707349877,368.8406882231405,-0.6992207245312605,0.4369878563195262,-0.6992207245312605,28,0.8261821366024519,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.471110380926874,0.4364905129970502,2023-02-03,2023-02-28,1.0,1.0,0,0.8747909395237115
V9_SM100S40D15W35_HM120S20D25_R80,100,40,-0.15,0.35,120,20,-0.25,80,0.2665801738403797,-0.7456046739433992,0.3575355455196844,624.2744426998668,1358,-0.24995614203275152,-0.39899437946564187,-0.5442016672692711,-0.7456046739433992,0.6475388370201063,-0.6992207245312605,-0.3141843487999392,-0.5543787073498765,373.2295789590895,-0.6992207245312605,0.4380276321822456,-0.6992207245312605,29,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.963317616648035,0.4845420640697508,2023-02-03,2023-02-28,1.0,1.0,0,0.8747745396592823
V9_SM110S40D10W50_HM110S20D25_R80,110,40,-0.1,0.5,110,20,-0.25,80,0.2652412206466206,-0.7452385633969283,0.355914513384284,606.5467678330931,1269,-0.23591764888572375,-0.38774541956073294,-0.5730639415324141,-0.7452385633969283,0.6475388370201061,-0.6992207245312605,-0.35587425165810216,-0.581467486046607,312.1408673397041,-0.6992207245312605,0.4223998344610922,-0.6992207245312605,39,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.4650899812875045,0.533527407349024,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8744879099186458
V9_SM80S30D15W50_HM150S40D22_R80,80,30,-0.15,0.5,150,40,-0.22,80,0.2607876281122181,-0.6992207245312605,0.37296896239316046,551.0032703192782,1346,-0.420969623803363,-0.46138418653315694,-0.27133013919943183,-0.5424971185445345,0.271850811650608,-0.6992207245312605,-0.30237045150181285,-0.5467024109923715,305.83225331574664,-0.6992207245312605,0.42062601038859504,-0.6992207245312605,51,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704564,0.4906484374652094,2023-02-03,2023-02-28,1.0,1.0,0,0.8740392357021086
V9_SM80S30D12W50_HM150S40D22_R80,80,30,-0.12,0.5,150,40,-0.22,80,0.25291610436863343,-0.6992207245312606,0.36171139598040636,464.5920759225594,1354,-0.420969623803363,-0.46138418653315694,-0.2713301391994326,-0.5424971185445345,0.271850811650608,-0.6992207245312606,-0.23489714820263752,-0.5028603951635707,273.40525337469484,-0.6992207245312606,0.41093025765419644,-0.6992207245312606,57,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.851656197698356,0.5712657926119533,2023-02-03,2023-02-28,1.0,1.0,0,0.8733981603718494
V9_SM100S40D12W50_HM120S20D25_R80,100,40,-0.12,0.5,120,20,-0.25,80,0.264824962930293,-0.7322602350182712,0.361654163732768,601.1350578697987,1350,-0.24995614203275152,-0.39899437946564187,-0.5202925290489121,-0.7322602350182712,0.6475388370201063,-0.6992207245312605,-0.34337299821447564,-0.5733445674320381,314.2528114327723,-0.6992207245312605,0.4229861712398024,-0.6992207245312605,35,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.2809714097167575,0.515552899249195,2023-02-03,2023-02-28,1.0,1.0,0,0.8730639364442275
V9_SM110S40D15W25_HM150S40D22_R80,110,40,-0.15,0.25,150,40,-0.22,80,0.25790159800840917,-0.6992207245312605,0.3688414673081948,517.6620360589599,1380,-0.420969623803363,-0.46138418653315694,-0.3008044067208723,-0.5643134086518347,0.6475388370201063,-0.6992207245312605,-0.25963918014968723,-0.5189369840249389,361.0215426881034,-0.6992207245312605,0.435106379740708,-0.6992207245312605,49,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.7601068236161455,0.4647036848439981,2023-02-03,2023-02-28,1.0,1.0,0,0.8710638675851453
V9_SM110S30D12W50_HM150S40D22_R80,110,30,-0.12,0.5,150,40,-0.22,80,0.2593399018431579,-0.6992207245312605,0.37089847703958245,534.0276701410116,1350,-0.420969623803363,-0.46138418653315694,-0.27054430224888837,-0.5420000155841521,0.49493541311090694,-0.6992207245312605,-0.26589281075143967,-0.5230003951582851,307.3148406335953,-0.6992207245312605,0.42104593351001673,-0.6992207245312605,57,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.033653318536582,0.49140856119992793,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8709880423112779
V9_SM100S40D15W35_HM110S20D25_R80,100,40,-0.15,0.35,110,20,-0.25,80,0.2643355999482022,-0.7456046739433992,0.3545251380334944,594.8323884871988,1358,-0.23591764888572375,-0.38774541956073294,-0.5736774794200863,-0.7456046739433992,0.6475388370201063,-0.6992207245312605,-0.31418434879993984,-0.5543787073498768,373.2295789590888,-0.6992207245312605,0.4380276321822456,-0.6992207245312605,27,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.963317616648032,0.48454206406975053,2023-02-03,2023-02-28,1.0,1.0,0,0.8709639821313847
V9_SM100S40D15W50_HM110S40D22_R80,100,40,-0.15,0.5,110,40,-0.22,80,0.26351573339905277,-0.7567899576179448,0.3482019426215552,584.4154543686587,1346,-0.22223753493752263,-0.3825580141011322,-0.5981372647302604,-0.7567899576179448,0.6475388370201063,-0.6992207245312605,-0.30237045150181197,-0.5467024109923709,342.34956093209223,-0.6992207245312605,0.43045440689128034,-0.6992207245312605,31,0.8073555166374781,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.404488081259305,0.5276111690595946,2023-02-03,2023-02-28,1.0,1.0,0,0.8706571607989262
V9_SM80S30D12W50_HM110S20D25_R80,80,30,-0.12,0.5,110,20,-0.25,80,0.2542177817113431,-0.6992207245312605,0.36357300748167065,477.91924650858834,1354,-0.23591764888572375,-0.38774541956073294,-0.4669530694543629,-0.6794300987001041,0.2718508116506082,-0.6992207245312605,-0.28840094835892793,-0.5376254702178069,254.21603743607187,-0.6992207245312605,0.4046726786050103,-0.6992207245312605,38,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.851656197698352,0.571265792611953,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8704380497170698
V9_SM80S20D12W50_HM150S40D22_R80,80,20,-0.12,0.5,150,40,-0.22,80,0.25026422288700334,-0.6992207245312605,0.357918771722297,438.53970666706505,1354,-0.420969623803363,-0.46138418653315694,-0.27367435244432003,-0.5439800156556902,0.20624452251626857,-0.6992207245312605,-0.2658928107514392,-0.5230003951582849,258.8537399156098,-0.6992207245312605,0.40622451945006177,-0.6992207245312605,57,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.097777055377389,0.5952932511792645,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8700538882422953
V9_SM80S40D15W25_HM110S20D25_R80,80,40,-0.15,0.25,110,20,-0.25,80,0.26806726210796517,-0.6992207245312605,0.3833800296575456,644.5483622950949,1380,-0.23591764888572375,-0.38774541956073294,-0.4454307354337915,-0.6654347080696503,0.6475388370201061,-0.6992207245312605,-0.286391080227831,-0.5363195215520562,335.5954232120533,-0.6992207245312605,0.4287129863715482,-0.6992207245312605,26,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.1012725477417415,0.4003852300182768,2023-02-03,2023-02-28,1.0,1.0,0,0.8697273301333699
V9_SM80S30D12W50_HM120S20D25_R80,80,30,-0.12,0.5,120,20,-0.25,80,0.25473712753658484,-0.6992207245312605,0.3643157569555079,483.3386763142972,1354,-0.24995614203275152,-0.39899437946564187,-0.4508183923275316,-0.6794300987001041,0.271850811650608,-0.6992207245312605,-0.28840094835892793,-0.537625470217807,254.2160374360721,-0.6992207245312605,0.40467267860501055,-0.6992207245312605,40,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.851656197698352,0.571265792611953,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8695904914642408
V9_SM80S30D15W50_HM110S20D25_R80,80,30,-0.15,0.5,110,20,-0.25,80,0.2617593246540728,-0.6992207245312605,0.37435864737783553,562.6873501930046,1346,-0.23591764888572375,-0.38774541956073294,-0.4669530694543629,-0.6794300987001041,0.27185081165060776,-0.6992207245312605,-0.3558742516581024,-0.5814674860466071,282.30014863604896,-0.6992207245312605,0.41369265954379797,-0.6992207245312605,32,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.0258671307045715,0.4906484374652101,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8693772507302877
V9_SM100S40D12W50_HM110S20D25_R80,100,40,-0.12,0.5,110,20,-0.25,80,0.26258349954044724,-0.7322602350182712,0.35859314350709665,572.7843041750054,1350,-0.23591764888572375,-0.38774541956073294,-0.5513145102316526,-0.7322602350182712,0.6475388370201063,-0.6992207245312605,-0.34337299821447664,-0.5733445674320388,314.2528114327719,-0.6992207245312605,0.4229861712398024,-0.6992207245312605,33,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.280971409716755,0.5155528992491948,2023-02-03,2023-02-28,1.0,1.0,0,0.8692617772726254
