strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,score
V3_M180_S40_YBC70_RD20_RT0_RF60,180,40,0.7,-0.2,0.0,60,0.038403787892623775,-0.29455437556226116,0.13037928164983653,2.791020305104658,3092,0.09809518749865176,-0.21244813891606928,0.11133169782999364,-0.29455437556226116,0.0018368852408523484,0.0,-0.017194510402551155,-0.1417886630637405,0.43020063509212036,-0.1417886630637405,0.022181176692349425,-0.1417886630637405,0.08085230589608873,0.03462043072857825,241,-0.11816048901531405
V3_M180_S40_YBC60_RD20_RT0_RF60,180,40,0.6,-0.2,0.0,60,0.038403787892623775,-0.29455437556226116,0.13037928164983653,2.791020305104658,3092,0.09809518749865176,-0.21244813891606928,0.11133169782999364,-0.29455437556226116,0.0018368852408523484,0.0,-0.017194510402551155,-0.1417886630637405,0.43020063509212036,-0.1417886630637405,0.022181176692349425,-0.1417886630637405,0.08085230589608873,0.03462043072857825,241,-0.11816048901531405
V3_M180_S40_YBC80_RD20_RT0_RF40,180,40,0.8,-0.2,0.0,40,0.03636139957828943,-0.28445385651548416,0.12782881562482915,2.645298401739646,3092,0.04849026631024178,-0.21244813891606895,0.18020979691866268,-0.28445385651548416,0.0018368852408510161,0.0,-0.0813727618112432,-0.21033484558459836,0.3368070013615856,-0.21033484558459836,0.017957557973254712,-0.21033484558459836,0.08391710449503795,0.03566226292663456,278,-0.14444630859630136
V3_M180_S40_YBC60_RD20_RT0_RF40,180,40,0.6,-0.2,0.0,40,0.03636139957828943,-0.28445385651548416,0.12782881562482915,2.645298401739646,3092,0.04849026631024178,-0.21244813891606895,0.18020979691866268,-0.28445385651548416,0.0018368852408510161,0.0,-0.0813727618112432,-0.21033484558459836,0.3368070013615856,-0.21033484558459836,0.017957557973254712,-0.21033484558459836,0.08391710449503795,0.03566226292663456,278,-0.14444630859630136
V3_M180_S40_YBC50_RD20_RT0_RF40,180,40,0.5,-0.2,0.0,40,0.03636139957828943,-0.28445385651548416,0.12782881562482915,2.645298401739646,3092,0.04849026631024178,-0.21244813891606895,0.18020979691866268,-0.28445385651548416,0.0018368852408510161,0.0,-0.0813727618112432,-0.21033484558459836,0.3368070013615856,-0.21033484558459836,0.017957557973254712,-0.21033484558459836,0.08391710449503795,0.03566226292663456,278,-0.14444630859630136
V3_M180_S40_YBC70_RD20_RT0_RF40,180,40,0.7,-0.2,0.0,40,0.03636139957828943,-0.28445385651548416,0.12782881562482915,2.645298401739646,3092,0.04849026631024178,-0.21244813891606895,0.18020979691866268,-0.28445385651548416,0.0018368852408510161,0.0,-0.0813727618112432,-0.21033484558459836,0.3368070013615856,-0.21033484558459836,0.017957557973254712,-0.21033484558459836,0.08391710449503795,0.03566226292663456,278,-0.14444630859630136
V3_M200_S40_YBC50_RD20_RT0_RF60,200,40,0.5,-0.2,0.0,60,0.03482576221242417,-0.2961636716906927,0.1175895815094955,2.540588468224854,3896,-0.18680400144239417,-0.2961636716906927,-0.0029316419235710933,-0.29455437556226083,0.0018368852408510161,0.0,0.016511547329711496,-0.12366124387087518,1.0786651596211292,-0.12366124387087518,0.04588605973900273,-0.12366124387087518,0.1039112667834209,0.03999400769889474,276,-0.14840976802393138
V3_M200_S40_YBC60_RD20_RT0_RF60,200,40,0.6,-0.2,0.0,60,0.03482576221242417,-0.2961636716906927,0.1175895815094955,2.540588468224854,3896,-0.18680400144239417,-0.2961636716906927,-0.0029316419235710933,-0.29455437556226083,0.0018368852408510161,0.0,0.016511547329711496,-0.12366124387087518,1.0786651596211292,-0.12366124387087518,0.04588605973900273,-0.12366124387087518,0.1039112667834209,0.03999400769889474,276,-0.14840976802393138
V3_M200_S20_YBC60_RD20_RT0_RF60,200,20,0.6,-0.2,0.0,60,0.03482576221242417,-0.2961636716906927,0.1175895815094955,2.540588468224854,3896,-0.18680400144239417,-0.2961636716906927,-0.0029316419235710933,-0.29455437556226083,0.0018368852408510161,0.0,0.016511547329711496,-0.12366124387087518,1.0786651596211292,-0.12366124387087518,0.04588605973900273,-0.12366124387087518,0.1039112667834209,0.03999400769889474,276,-0.14840976802393138
V3_M200_S20_YBC70_RD20_RT0_RF60,200,20,0.7,-0.2,0.0,60,0.03482576221242417,-0.2961636716906927,0.1175895815094955,2.540588468224854,3896,-0.18680400144239417,-0.2961636716906927,-0.0029316419235710933,-0.29455437556226083,0.0018368852408510161,0.0,0.016511547329711496,-0.12366124387087518,1.0786651596211292,-0.12366124387087518,0.04588605973900273,-0.12366124387087518,0.1039112667834209,0.03999400769889474,276,-0.14840976802393138
V3_M200_S20_YBC80_RD20_RT0_RF60,200,20,0.8,-0.2,0.0,60,0.03482576221242417,-0.2961636716906927,0.1175895815094955,2.540588468224854,3896,-0.18680400144239417,-0.2961636716906927,-0.0029316419235710933,-0.29455437556226083,0.0018368852408510161,0.0,0.016511547329711496,-0.12366124387087518,1.0786651596211292,-0.12366124387087518,0.04588605973900273,-0.12366124387087518,0.1039112667834209,0.03999400769889474,276,-0.14840976802393138
V3_M200_S40_YBC80_RD20_RT0_RF60,200,40,0.8,-0.2,0.0,60,0.03482576221242417,-0.2961636716906927,0.1175895815094955,2.540588468224854,3896,-0.18680400144239417,-0.2961636716906927,-0.0029316419235710933,-0.29455437556226083,0.0018368852408510161,0.0,0.016511547329711496,-0.12366124387087518,1.0786651596211292,-0.12366124387087518,0.04588605973900273,-0.12366124387087518,0.1039112667834209,0.03999400769889474,276,-0.14840976802393138
V3_M200_S40_YBC70_RD20_RT0_RF60,200,40,0.7,-0.2,0.0,60,0.03482576221242417,-0.2961636716906927,0.1175895815094955,2.540588468224854,3896,-0.18680400144239417,-0.2961636716906927,-0.0029316419235710933,-0.29455437556226083,0.0018368852408510161,0.0,0.016511547329711496,-0.12366124387087518,1.0786651596211292,-0.12366124387087518,0.04588605973900273,-0.12366124387087518,0.1039112667834209,0.03999400769889474,276,-0.14840976802393138
V3_M200_S20_YBC50_RD20_RT0_RF60,200,20,0.5,-0.2,0.0,60,0.03482576221242417,-0.2961636716906927,0.1175895815094955,2.540588468224854,3896,-0.18680400144239417,-0.2961636716906927,-0.0029316419235710933,-0.29455437556226083,0.0018368852408510161,0.0,0.016511547329711496,-0.12366124387087518,1.0786651596211292,-0.12366124387087518,0.04588605973900273,-0.12366124387087518,0.1039112667834209,0.03999400769889474,276,-0.14840976802393138
V3_M200_S40_YBC60_RD25_RT0_RF60,200,40,0.6,-0.25,0.0,60,0.02688266695347985,-0.3070231772333023,0.08755908005294374,2.059629940246744,2692,-0.1991590570817211,-0.3070231772333023,0.1630401474434855,-0.10354783483194097,0.001836885240850572,0.0,0.043339132882172615,-0.1909084433360697,0.4669611184885951,-0.1909084433360697,0.02377295026372117,-0.1909084433360697,0.05735551663747811,0.024260015782016184,250,-0.17014279604527044
