strategy,long_ma,slope_lb,guard_dd,rec1_ma,rec1_days,rec2_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,ActualEra_CAGR,ActualEra_MDD
C_L200_S40_DD30_R80x5_100,200,40,-0.3,80,5,100,0.1256221905423327,-0.7340637763268506,0.1711325290711497,25.105335560923944,5225,-0.6946560833910651,-0.7340637763268506,-0.2988849933271487,-0.43521864971934654,0.6410060624119935,-0.4922390437217594,-0.4699763356966654,-0.6057258009765814,27.86141474019091,-0.6057258009765814,0.5926736719206072,0.2507052305784077,112,0.22895700410078668,-0.6057258009765814
C_L200_S40_DD30_R80x10_100,200,40,-0.3,80,10,100,0.1256221905423327,-0.7340637763268506,0.1711325290711497,25.105335560923944,5225,-0.6946560833910651,-0.7340637763268506,-0.2988849933271487,-0.43521864971934654,0.6410060624119935,-0.4922390437217594,-0.4699763356966654,-0.6057258009765814,27.86141474019091,-0.6057258009765814,0.5926736719206072,0.2507052305784077,112,0.22895700410078668,-0.6057258009765814
C_L200_S40_DD30_R80x5_120,200,40,-0.3,80,5,120,0.12547460665331478,-0.7242482057538335,0.17324807387367233,25.015836185487263,5173,-0.683101125100139,-0.7242482057538335,-0.29888499332714846,-0.43521864971934643,0.6410060624119926,-0.4922390437217594,-0.4894757889925323,-0.6133626759418336,26.70991439131231,-0.6133626759418336,0.5926736719206072,0.2502761516183367,113,0.22589288175309585,-0.6133626759418336
C_L200_S40_DD30_R40x10_100,200,40,-0.3,40,10,100,0.12534023820982343,-0.7340637763268506,0.17074843120172464,24.93461841783392,5225,-0.6946560833910651,-0.7340637763268506,-0.2988849933271487,-0.43521864971934654,0.6410060624119935,-0.4922390437217594,-0.4735805147971739,-0.6084068790561001,27.66515612982401,-0.6084068790561001,0.5938412142440164,0.2509982380520733,117,0.22844297054847362,-0.6084068790561001
C_L200_S40_DD30_R80x3_100,200,40,-0.3,80,3,100,0.12530404693592168,-0.7340637763268506,0.17069912857289468,24.912786393591684,5225,-0.6946560833910651,-0.7340637763268506,-0.2988849933271487,-0.43521864971934654,0.6410060624119935,-0.4922390437217594,-0.4740414323363954,-0.608749746565292,27.64005775562606,-0.608749746565292,0.5928196147110333,0.2507417208372966,114,0.22837699568207648,-0.608749746565292
C_L250_S20_DD20_R60x10_150,250,20,-0.2,60,10,150,0.12514904345178857,-0.8475674461448619,0.14765673696061085,24.819490227503888,5960,-0.8108152929593668,-0.8475674461448619,-0.11936485826010557,-0.1491513707448886,0.6410060624119918,-0.4922390437217594,-0.2229936276956418,-0.28859683042410555,38.48092492754752,-0.4922390437217594,0.560128429655575,0.23027551033189578,102,0.25279367662214014,-0.4922390437217594
C_L200_S40_DD30_R80x3_150,200,40,-0.3,80,3,150,0.12514390111759832,-0.726197981997958,0.172327525302804,24.81640084608072,5175,-0.6851918781249114,-0.726197981997958,-0.29888499332714935,-0.4352186497193463,0.6410060624119924,-0.4922390437217594,-0.488068935669586,-0.6039673741858298,26.671565140914648,-0.6039673741858298,0.5934033858727379,0.2502171509388229,115,0.2257887914718637,-0.6039673741858298
C_L200_S40_DD30_R80x3_120,200,40,-0.3,80,3,120,0.12499462379943971,-0.7242482057538335,0.17258534133244982,24.72688017459293,5173,-0.683101125100139,-0.7242482057538335,-0.29888499332714846,-0.43521864971934643,0.6410060624119926,-0.4922390437217594,-0.49328093630813263,-0.6079994059230104,26.389839289070387,-0.6079994059230104,0.593549328663164,0.25054234676796366,117,0.22501993315570679,-0.6079994059230104
C_L250_S20_DD20_R60x5_150,250,20,-0.2,60,5,150,0.12390163876990212,-0.8475674461448619,0.14618499015443012,24.080835704853207,5966,-0.8108152929593668,-0.8475674461448619,-0.13804978610380603,-0.16720430151044163,0.6410060624119933,-0.4922390437217594,-0.2297758914869661,-0.2948064628415834,38.13630735795141,-0.4922390437217594,0.561150029188558,0.23053311334151605,106,0.2521204380618074,-0.4922390437217594
C_L250_S20_DD20_R40x5_150,250,20,-0.2,40,5,150,0.12381547643844915,-0.8475674461448619,0.14608333177686397,24.03060393801253,5966,-0.8108152929593668,-0.8475674461448619,-0.13984778359456917,-0.16894148371895235,0.6410060624119922,-0.49223904372175953,-0.22977589148696542,-0.2948064628415832,38.13630735795159,-0.49223904372175953,0.5617338003502627,0.2306833666955923,106,0.25212043806180784,-0.49223904372175953
C_L250_S20_DD20_R40x10_150,250,20,-0.2,40,10,150,0.12364711244185944,-0.8475674461448619,0.14588468800242985,23.93274058707671,5967,-0.8108152929593668,-0.8475674461448619,-0.14335070755059987,-0.17232592513527678,0.6410060624119924,-0.49223904372175953,-0.2297758914869653,-0.2948064628415831,38.13630735795162,-0.49223904372175953,0.5612959719789843,0.2305721435606444,106,0.25212043806180784,-0.49223904372175953
C_L250_S20_DD20_R40x3_150,250,20,-0.2,40,3,150,0.12364684048916419,-0.8475674461448619,0.14588436713982889,23.93258282269797,5967,-0.8108152929593668,-0.8475674461448619,-0.1433563545738844,-0.1723313811542242,0.6410060624119918,-0.49223904372175953,-0.22977589148696564,-0.2948064628415831,38.1363073579515,-0.49223904372175953,0.5618797431406889,0.23071985695448122,108,0.2521204380618076,-0.49223904372175953
C_L250_S20_DD25_R80x3_150,250,20,-0.25,80,3,150,0.12360313197421835,-0.8475674461448619,0.14583279777488378,23.90723978572898,6685,-0.8214447331539751,-0.8475674461448619,-0.20905667001772454,-0.3705722525537404,0.6410060624119924,-0.4922390437217594,-0.21562762593964313,-0.39211897882876356,43.862957933920235,-0.4922390437217594,0.580122591943958,0.24546276002257889,106,0.26264850545486906,-0.4922390437217594
