date,mode,reason,target_weight,price,notional,fee,cash_after,shares_after,avg_cost_after,strategy
2014-04-11,B,dip_-6%_to_15%,0.15,1.069651484489441,0.20972390402467636,0.00010486195201233818,1.1883305941878204,0.19606751083487758,1.0701863102316858,B_hard_MA250
2014-07-23,B,TP_50,0.0,1.6417696475982666,-0.3218976881688463,0.00016094884408442316,1.5101355701361279,0.0,,B_hard_MA250
2014-10-14,B,dip_-6%_to_15%,0.15,1.4220068454742432,0.22652875827505528,0.00011326437913752764,1.2835496991795092,0.15930215736725747,1.4227178488969803,B_hard_MA250
2015-02-19,B,TP_50,0.0,2.168811798095703,-0.34549639836020635,0.00017274819918010318,1.6289336571972295,0.0,,B_hard_MA250
2015-08-21,B,dip_-6%_to_15%,0.15,1.8252962827682493,0.2443639310578412,0.0001221819655289206,1.3846067606955712,0.13387631003512385,1.8262089309096334,B_hard_MA250
2015-08-24,B,below_MA250,0.0,1.609048843383789,-0.21541352181850557,0.00010770676090925279,1.5999136746473976,0.0,,B_hard_MA250
2018-02-06,B,dip_-6%_to_15%,0.15,6.136348247528076,0.24332929377880458,0.0001216646468894023,1.3787443334330032,0.039653762133989974,6.13941642165184,B_hard_MA250
2018-02-09,B,dip_-10%_to_35%,0.35,5.406387805938721,0.3432976876393747,0.00017164884381968735,1.0355222008850724,0.1031522938638586,5.689842396365043,B_hard_MA250
2018-08-30,B,TP_50,0.0,8.58913803100586,-0.8859892902115603,0.00044299464510578015,1.931615993613638,0.0,,B_hard_MA250
2018-10-11,B,dip_-6%_to_15%,0.15,6.375432014465332,0.29045231293083856,0.0001452261564654193,1.6457512137849533,0.045558059794509,6.378619730472565,B_hard_MA250
2018-10-25,B,below_MA250,0.0,6.426662921905518,-0.2927862936753255,0.00014639314683766275,1.9398631517225824,0.0,,B_hard_MA250
2019-05-14,B,dip_-6%_to_15%,0.15,6.747933864593506,0.29470038436303087,0.00014735019218151544,1.6698214945316603,0.04367268415437909,6.7513078315258035,B_hard_MA250
2019-06-03,B,below_MA250,0.0,5.61054801940918,-0.24502769158463428,0.00012251384579231714,1.9167243375776712,0.0,,B_hard_MA250
2019-08-06,B,dip_-6%_to_15%,0.15,6.863700866699219,0.2885938140242655,0.00014429690701213275,1.6352206492304924,0.04204638570781005,6.867132717132567,B_hard_MA250
2019-12-27,B,TP_50,0.0,10.48373317718506,-0.44080308882568797,0.000220401544412844,2.086837989675078,0.0,,B_hard_MA250
2020-02-25,B,dip_-6%_to_15%,0.15,10.499255180358888,0.3137606202819443,0.00015688031014097215,1.77781996795421,0.0298840836699446,10.504504807949068,B_hard_MA250
2020-02-28,B,dip_-10%_to_35%,0.35,9.193117141723633,0.4437716027482748,0.0002218858013741374,1.334134299882754,0.07815624162322304,9.69738274769512,B_hard_MA250
2020-03-10,B,below_MA250,0.0,8.448116302490234,-0.6602730189985164,0.00033013650949925824,1.994357692739916,0.0,,B_hard_MA250
2020-09-08,B,dip_-6%_to_15%,0.15,14.520350456237791,0.2993216896413873,0.00014966084482069365,1.6960065804563742,0.0206139438950526,14.527610631465912,B_hard_MA250
2020-09-09,B,dip_-10%_to_35%,0.35,15.767988204956056,0.3823285714430377,0.00019116428572151886,1.313494113327434,0.04486108097262015,15.202288295977612,B_hard_MA250
2021-01-21,B,TP_50,0.0,24.22207260131836,-1.086628360292427,0.0005433141801462135,2.3999730054459025,0.0,,B_hard_MA250
2021-02-26,B,dip_-6%_to_15%,0.15,21.30415344238281,0.360010493790573,0.0001800052468952865,2.039879459566352,0.016898605934482364,21.314805519104,B_hard_MA250
2021-03-09,B,dip_-10%_to_35%,0.35,20.44453430175781,0.489399473522476,0.000244699736761238,1.5502534186381751,0.04083651844933958,20.810654398733377,B_hard_MA250
2021-07-13,B,TP_50,0.0,31.20884132385254,-1.2744604245040156,0.0006372302122520079,2.824167846750029,0.0,,B_hard_MA250
2021-10-01,B,dip_-6%_to_15%,0.15,30.28713798522949,0.4236632545270798,0.0002118316272635399,2.4005466106928552,0.013988223474059947,30.302281554222102,B_hard_MA250
2022-01-24,B,below_MA250,0.0,27.455183029174805,-0.3840492357333153,0.00019202461786665763,2.7848210000585545,0.0,,B_hard_MA250
2023-08-17,B,dip_-6%_to_15%,0.15,17.713361740112305,0.4392149139323603,0.00021960745696618015,2.4886649048264085,0.02479568364133547,17.72221842098236,B_hard_MA250
2023-10-27,B,dip_-10%_to_35%,0.35,15.214143753051758,0.6350473688573943,0.00031752368442869715,1.8796541956033224,0.06653627576174397,16.153585418273764,B_hard_MA250
2023-12-19,B,TP_50,0.0,24.799541473388672,-1.650069130238195,0.0008250345651190974,3.5430536025407235,0.0,,B_hard_MA250
2024-04-22,B,dip_-6%_to_15%,0.15,24.94928741455078,0.5407882101228224,0.0002703941050614112,3.064196129924266,0.021675497225120226,24.961762058258056,B_hard_MA250
2024-06-18,B,TP_50,0.0,37.67872619628906,-0.8167051251137284,0.0004083525625568642,3.9060941233245687,0.0,,B_hard_MA250
2024-07-25,B,dip_-6%_to_15%,0.15,31.11898422241211,0.5889497721281682,0.0002944748860640841,3.3370875671735556,0.018925738961106657,31.134543714523314,B_hard_MA250
2024-08-05,B,dip_-10%_to_35%,0.35,26.37268829345703,0.8452148070495195,0.00042260740352475975,2.496204032328414,0.05097460700385428,28.14894995382274,B_hard_MA250
2024-12-05,B,TP_50,0.0,42.20784378051758,-2.151528249191959,0.0010757641245959795,4.686544925008294,0.0,,B_hard_MA250
2025-02-28,B,dip_-6%_to_15%,0.15,37.09048843383789,0.7095952489234337,0.0003547976244617169,4.020684946274996,0.01913146143085205,37.10903367805481,B_hard_MA250
2025-03-11,B,below_MA250,0.0,29.26346206665039,-0.559852795861324,0.000279926397930662,4.584945370988363,0.0,,B_hard_MA250
2025-11-19,B,dip_-6%_to_15%,0.15,49.864349365234375,0.7076398632549438,0.0003538199316274719,4.0096054051797205,0.014191298437923931,49.889281539916986,B_hard_MA250
2026-03-30,B,below_MA250,0.0,37.88999938964844,-0.5377082891512566,0.0002688541445756283,4.5976674026486,0.0,,B_hard_MA250
1999-03-24,C,dip_-6%_to_15%,0.15,29.746692,0.15026348184141,7.513174092070501e-05,0.8514179320270693,0.005051435024822592,29.761565345999998,C_V1
1999-07-16,C,TP_50,0.0,46.589336,-0.2353430036536281,0.00011767150182681405,1.0986126447814946,0.0,,C_V1
1999-07-23,C,dip_-6%_to_15%,0.15,37.510039,0.16493908489355222,8.246954244677611e-05,0.9345723448543493,0.0043971984378249306,37.528794019500005,C_V1
1999-08-05,C,dip_-10%_to_35%,0.35,34.514903,0.22898884188750973,0.00011449442094375487,0.7070069845405211,0.011031690265529321,35.72660954559004,C_V1
1999-11-04,C,TP_50,0.0,55.384005,-0.6109791888245273,0.00030548959441226365,1.3262761100730889,0.0,,C_V1
2000-01-05,C,dip_-6%_to_15%,0.15,105.207044,0.2006546577901598,0.0001003273288950799,1.1369427334820106,0.0019072359621677027,105.259647522,C_V1
2000-01-07,C,dip_-15%_to_60%,0.6,114.414594,0.595163924821132,0.000297581962410566,0.541955453434089,0.0071090542269000145,112.00034019852974,C_V1
2000-02-25,C,TP_50,0.0,158.850411,-1.1292761857643545,0.0005646380928821772,1.6745350896746576,0.0,,C_V1
2000-03-15,C,dip_-6%_to_15%,0.15,148.053822,0.25191355973392704,0.00012595677986696353,1.4273842150457194,0.001701499875727133,148.127848911,C_V1
2000-03-16,C,dip_-10%_to_35%,0.35,173.341856,0.3079855330821844,0.0001539927665410922,1.1195669834932356,0.003478252128121294,161.0518794291915,C_V1
2000-04-12,C,dip_-15%_to_60%,0.6,96.990865,0.5396932319856329,0.00026984661599281645,0.5844314297708125,0.009042623906696863,121.66182430183704,C_V1
2000-04-14,C,dip_-22%_to_100%,1.0,62.335639,0.5844015568130705,0.00029220077840653525,0.0,0.018417703174161665,91.47915256443545,C_V1
2000-12-01,C,RED_enter,0.0,16.299679,-0.30020264965611626,0.00015010132482805815,0.3000525483312882,0.0,,C_V1
2002-03-11,C,recovery_MA120,0.5,1.084419,0.15629484532214366,7.814742266107183e-05,0.1562166978994826,0.14412772675704102,1.0849612094999999,C_V1
2002-03-13,C,RED_reassert,0.0,0.963723,-0.13889920521347585,6.944960260673793e-05,0.29506870898279103,0.0,,C_V1
2003-08-06,C,dip_-6%_to_15%,0.15,0.275612,0.04510794142007478,2.255397071003739e-05,0.2555891140763804,0.1636646496526812,0.27574980600000004,C_V1
2003-09-19,C,TP_50,0.0,0.407193,-0.06664309968602422,3.332154984301211e-05,0.3224943235983976,0.0,,C_V1
2003-10-01,C,dip_-6%_to_15%,0.15,0.354329,0.04838830170908129,2.4194150854540644e-05,0.2741761822006061,0.1365631989170553,0.35450616450000005,C_V1
2004-01-20,C,TP_50,0.0,0.534395,-0.07297869068527975,3.648934534263988e-05,0.34785414803291864,0.0,,C_V1
2004-03-09,C,dip_-6%_to_15%,0.15,0.416657,0.05224225047815771,2.6121125239078856e-05,0.29601329825098793,0.12538431006357198,0.4168653285,C_V1
2004-03-23,C,dip_-10%_to_35%,0.35,0.359737,0.07432433176637199,3.716216588318599e-05,0.2217608657061519,0.3319917253874669,0.3814247640897148,C_V1
2004-08-09,C,dip_-15%_to_60%,0.6,0.303975,0.09325730700433205,4.6628653502166025e-05,0.129403032499156,0.6387844123003119,0.3443005135355254,C_V1
2004-12-02,C,TP_50,0.0,0.531794,-0.33970171775483204,0.00016985085887741603,0.4696626582766591,0.0,,C_V1
2005-01-21,C,dip_-6%_to_15%,0.15,0.425554,0.07066062874752847,3.533031437376424e-05,0.40037489925495423,0.16604385988036413,0.425766777,C_V1
2005-03-30,C,dip_-10%_to_35%,0.35,0.404922,0.0970915467643694,4.85457733821847e-05,0.30512897733133226,0.40582225365587987,0.4135703502892961,C_V1
2007-06-01,C,TP_50,0.0,0.623061,-0.25285201918508615,0.00012642600959254308,0.587419626272355,0.0,,C_V1
2007-08-13,C,dip_-6%_to_15%,0.15,0.608104,0.08893811565053115,4.4469057825265576e-05,0.5039381862951846,0.14625477821315294,0.6084080519999999,C_V1
2008-01-23,C,dip_-10%_to_35%,0.35,0.429948,0.13826102409425345,6.913051204712673e-05,0.3734821059460597,0.4678309318276679,0.48588651123733484,C_V1
2008-03-04,C,dip_-15%_to_60%,0.6,0.390061,0.15161915187880695,7.580957593940347e-05,0.2226586924096865,0.8565371902816199,0.4424883181602305,C_V1
2008-09-18,C,RED_enter,0.0,0.309003,-0.2646725614085914,0.0001323362807042957,0.48908882930297326,0.0,,C_V1
2009-07-08,C,dip_-6%_to_15%,0.15,0.109912,0.0734980918471792,3.67490459235896e-05,0.4164524380880919,0.6686994308826989,0.109966956,C_V1
2009-08-04,C,TP_50,0.0,0.167091,-0.11173365660562104,5.586682830281052e-05,0.5281849319664208,0.0,,C_V1
2010-01-29,C,dip_-6%_to_15%,0.15,0.194905,0.07925791175161773,3.9628955875808865e-05,0.4490885376366247,0.40664894051777906,0.1950024525,C_V1
2010-04-14,C,TP_50,0.0,0.3060931861400604,-0.1244724698435669,6.223623492178345e-05,0.5736113245079042,0.0,,C_V1
2010-05-07,C,dip_-6%_to_15%,0.15,0.22855906188488,0.08605032032419142,4.302516016209571e-05,0.4875754566769226,0.37649052115699094,0.22867334141582246,C_V1
2010-05-10,C,dip_-10%_to_35%,0.35,0.2626491189002991,0.10637703508613712,5.318851754306856e-05,0.38114755486107943,0.7815062909853205,0.24634935292113982,C_V1
2010-07-01,C,dip_-15%_to_60%,0.6,0.1814678460359573,0.17200470058627199,8.600235029313599e-05,0.209129306899659,1.7293585102274545,0.2108378741991693,C_V1
2010-10-26,C,TP_50,0.0,0.3206072747707367,-0.5544449190656053,0.0002772224595328027,0.7633917137820138,0.0,,C_V1
2011-03-17,C,dip_-6%_to_15%,0.15,0.3629853725433349,0.1145651845596284,5.72825922798142e-05,0.6491454299122812,0.31561928723712157,0.36316686522960656,C_V1
2011-08-09,C,dip_-10%_to_35%,0.35,0.3155463337898254,0.16250030316311076,8.125015158155538e-05,0.4866625437932542,0.8306000864478855,0.33373945535219157,C_V1
2012-02-27,C,TP_50,0.0,0.5058966279029846,-0.4201977828699128,0.0002100988914349564,0.9067045940477312,0.0,,C_V1
2012-05-15,C,dip_-6%_to_15%,0.15,0.4847076535224914,0.13602860148365511,6.801430074182756e-05,0.7707607274399706,0.28064050669532725,0.48495000734925264,C_V1
2012-05-21,C,dip_-10%_to_35%,0.35,0.4630727469921112,0.1852979706478571,9.264898532392855e-05,0.5853808128727852,0.6807892346251395,0.4722272607536124,C_V1
2013-05-13,C,TP_50,0.0,0.7151522636413574,-0.4868679622048357,0.00024343398110241785,1.0724512590187372,0.0,,C_V1
2014-04-11,C,dip_-6%_to_15%,0.15,1.069651484489441,0.1609230508560112,8.04615254280056e-05,0.9118168266586354,0.1504443766866943,1.0701863102316855,C_V1
2014-07-23,C,TP_50,0.0,1.6417696475982666,-0.24699501129605497,0.0001234975056480275,1.1587406990282527,0.0,,C_V1
2014-10-14,C,dip_-6%_to_15%,0.15,1.4220068454742432,0.17381756771014836,8.690878385507418e-05,0.9848793082403191,0.12223398801725158,1.4227178488969803,C_V1
2015-02-19,C,TP_50,0.0,2.168811798095703,-0.26510251534010404,0.00013255125767005203,1.2498955470873534,0.0,,C_V1
2015-08-21,C,dip_-6%_to_15%,0.15,1.8252962827682493,0.18750265730495327,9.375132865247664e-05,1.0624213067327495,0.1027245050982004,1.8262089309096334,C_V1
2015-08-24,C,dip_-10%_to_35%,0.35,1.609048843383789,0.2644100674984549,0.00013220503374922746,0.7978798773920397,0.2670514418382979,1.6930771017502466,C_V1
2016-02-10,C,dip_-15%_to_60%,0.6,1.419807195663452,0.32733361241214665,0.00016366680620607334,0.4708331139581017,0.49759937356587947,1.5667944973426358,C_V1
2016-08-02,C,TP_50,0.0,2.326498031616211,-1.1576639631344783,0.0005788319815672392,1.6285046072121414,0.0,,C_V1
2018-02-06,C,dip_-6%_to_15%,0.15,6.136348247528076,0.2472299972889906,0.0001236149986444953,1.4008463696389688,0.04028943392979416,6.13941642165184,C_V1
2018-02-09,C,dip_-10%_to_35%,0.35,5.406387805938721,0.34880093993759953,0.00017440046996879978,1.0521221959828257,0.1048058823344858,5.689842396365043,C_V1
2018-08-30,C,TP_50,0.0,8.58913803100586,-0.9001921898322571,0.0004500960949161286,1.9625808691105793,0.0,,C_V1
2018-10-11,C,dip_-6%_to_15%,0.15,6.375432014465332,0.2951084245686783,0.00014755421228433916,1.6721335183435593,0.046288380755861176,6.378619730472565,C_V1
2018-10-25,C,dip_-10%_to_35%,0.35,6.426662921905518,0.3924083204578452,0.00019620416022892259,1.2810246287105687,0.10734780229799729,6.407774436681408,C_V1
2018-12-18,C,dip_-15%_to_60%,0.6,4.86110258102417,0.5624315183846859,0.0002812157591923429,0.7225589157093097,0.22304820339222578,5.606739792222433,C_V1
2018-12-26,C,dip_-22%_to_100%,1.0,4.278298854827881,0.72253215311417,0.000361266076557085,0.0,0.39193125191952133,5.035236784687104,C_V1
2019-04-18,C,TP_50,0.0,7.633495330810547,-2.9918053815263983,0.0014959026907631992,2.990309478835635,0.0,,C_V1
2019-05-14,C,dip_-6%_to_15%,0.15,6.747933864593506,0.4492634423488395,0.00022463172117441975,2.5456015415889164,0.06657792612730401,6.7513078315258035,C_V1
2019-06-04,C,dip_-10%_to_35%,0.35,6.065263748168945,0.6296288905206722,0.0003148144452603361,1.9189338198055155,0.17038691394102473,6.335180056195896,C_V1
2019-12-16,C,TP_50,0.0,9.804435729980469,-1.6705475469644901,0.0008352737734822451,3.607770935683177,0.0,,C_V1
2020-02-25,C,dip_-6%_to_15%,0.15,10.499255180358888,0.5426994342589324,0.0002713497171294662,3.0750254444168212,0.0516893269985635,10.504504807949068,C_V1
2020-02-28,C,dip_-10%_to_35%,0.35,9.193117141723633,0.7675743295486072,0.0003837871647743036,2.307599752706994,0.13518378461456787,9.69738274769512,C_V1
2020-03-10,C,dip_-15%_to_60%,0.6,8.448116302490234,0.9280316304369751,0.00046401581521848757,1.3795892942325378,0.24503450129603935,9.139221354939188,C_V1
2020-03-13,C,dip_-22%_to_100%,1.0,6.786191940307617,1.37895625958418,0.00068947812979209,-2.220446049250313e-16,0.4482348044577669,8.074050137703221,C_V1
2020-07-06,C,TP_50,0.0,13.238086700439451,-5.933771203566442,0.002966885601783221,5.930804317964659,0.0,,C_V1
2020-09-08,C,dip_-6%_to_15%,0.15,14.520350456237791,0.8897805463371918,0.0004448902731685959,5.041644872304252,0.0612781729352098,14.52761063146591,C_V1
