strategy,arm_dd,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,score
BH_A25_F60_M120_W35_X120S40D20,-0.25,60,120,0.35,120,40,-0.2,0.2870364290328884,-0.5810372490267552,0.4940069324534323,965.8122312367914,874,-0.2921473661737971,-0.4114654862334465,-0.3240398321703428,-0.5645312519475085,0.9032933212481489,-0.14723087963306436,-0.35009691648041474,-0.5499605073457781,266.16864222209307,-0.5810372490267552,0.40862012545825643,-0.5810372490267552,0.7463514302393461,0.7322391141753719,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.7759522459269865,0.6614998557148253,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,1.1855531876138627
BH_A25_F60_M150_W35_X120S40D20,-0.25,60,150,0.35,120,40,-0.2,0.2853825289902261,-0.5945790527013105,0.4799740718978697,932.5721670715009,1001,-0.19521748364744262,-0.3224539304023757,-0.4020344989118769,-0.5645312519475085,0.9032933212481515,-0.14723087963306425,-0.3760530846085478,-0.5945790527013105,255.49832172057143,-0.5945790527013105,0.4051043797398215,-0.5945790527013105,0.7463514302393461,0.7306210496245351,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.465392211716077,0.6311815461451564,2023-01-25,2023-02-07,1.0,1.0,0,1.1854132842985072
BH_A25_F40_M150_W35_X120S40D20,-0.25,40,150,0.35,120,40,-0.2,0.29596627682316856,-0.6245396048392766,0.47389512935586303,1165.9521364638927,1031,-0.06116031602144956,-0.41256097682938575,-0.4268158148116621,-0.5744526764584549,1.2978150597001203,-0.14723087963306436,-0.4221626756754747,-0.6245396048392766,285.7819572821289,-0.6245396048392766,0.41475185044043283,-0.6245396048392766,0.7545242265032107,0.7362771757946414,50,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.992836014942413,0.5850484205507683,2023-02-03,2023-02-07,1.0,1.0000000000000002,0,1.185407956209442
BH_A20_F80_M100_W35_X150S40D20,-0.2,80,100,0.35,150,40,-0.2,0.28348465356884245,-0.6992207245312605,0.4054294211014458,895.786105847761,1949,-0.5857261091945211,-0.614641169328755,-0.4988420817987943,-0.6921185543664925,0.6475388370201061,-0.6992207245312605,-0.3502489891547633,-0.5778123686052832,729.6987572034163,-0.6992207245312605,0.49825195004663625,-0.6992207245312605,0.7987448920023351,0.7909358658212228,40,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968974,0.6184786476793962,2023-02-03,2023-02-16,1.0,1.0,0,1.1840061415044556
BH_A25_F40_M100_W35_X120S40D20,-0.25,40,100,0.35,120,40,-0.2,0.29312185178839045,-0.6061534590692268,0.4835769678498427,1098.2219112013224,1051,-0.3088671120719013,-0.4788532331548997,-0.3008496855327246,-0.5744526764584535,1.2978150597001226,-0.14723087963306436,-0.39386621241772346,-0.6061534590692268,299.8255553254122,-0.6061534590692268,0.4189049697537697,-0.6061534590692268,0.7545242265032107,0.7417723719858103,49,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968975,0.6184786476793963,2023-02-03,2023-02-16,1.0,1.0000000000000002,0,1.1814911070159826
BH_A25_F80_M150_W35_X120S40D20,-0.25,80,150,0.35,120,40,-0.2,0.28847714906476973,-0.597521576447481,0.4827895099284759,995.6954012192689,997,-0.2680957183125692,-0.4505067500861797,-0.3865037626325637,-0.5645312519475085,1.1938242172670082,-0.14723087963306447,-0.38058165824817414,-0.597521576447481,292.5060445515959,-0.597521576447481,0.4167636363585556,-0.597521576447481,0.7441622883829538,0.7305933428847724,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.992836014942416,0.5850484205507686,2023-02-03,2023-02-07,1.0,1.0000000000000002,0,1.1696220637246342
BH_A25_F40_M120_W35_X120S40D20,-0.25,40,120,0.35,120,40,-0.2,0.2886209605925809,-0.5810372490267554,0.49673400642734117,998.7267364690174,1084,-0.32173468182568254,-0.516180319386256,-0.34930050077631447,-0.5747319243593844,1.2978150597001208,-0.14723087963306436,-0.3965002436054095,-0.5592870951086075,298.5182797519111,-0.5810372490267554,0.41852613762238633,-0.5810372490267554,0.7545242265032107,0.7387660448154851,50,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153328,0.6153667301204377,2023-02-03,2023-03-20,1.0,1.0,0,1.1687403998908676
BH_A25_F60_M100_W35_X120S40D20,-0.25,60,100,0.35,120,40,-0.2,0.28522665395199276,-0.5810372490267552,0.4908922008524428,929.4968466861397,874,-0.3671833806685416,-0.473853167221418,-0.27528939833276467,-0.5645312519475085,0.9032933212481498,-0.14723087963306425,-0.34743273577549694,-0.5759824563408098,267.2638602009231,-0.5810372490267552,0.40897349450023635,-0.5810372490267552,0.7463514302393461,0.7373683309222554,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742638,0.6646117732737843,2023-01-25,2023-02-16,1.0,1.0,0,1.1656793791989444
BH_A25_F80_M100_W35_X100S40D20,-0.25,80,100,0.35,100,40,-0.2,0.28933122072093953,-0.5960664019195396,0.48540098852945424,1013.8288170942345,753,-0.42314288630867203,-0.5420506673218655,-0.2444326785685753,-0.5643134086518345,1.1938242172670086,-0.14723087963306447,-0.3502489891547632,-0.5778123686052832,306.8789184660505,-0.5960664019195396,0.42092266143335033,-0.5960664019195396,0.7450379451255108,0.7390224426968125,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968974,0.6184786476793962,2023-02-03,2023-02-16,1.0,1.0,0,1.1628994952892804
BH_A25_F80_M100_W35_X120S40D20,-0.25,80,100,0.35,120,40,-0.2,0.28762250868316985,-0.5960664019195396,0.48253434140378665,977.8628546847953,1035,-0.4320875330230519,-0.5449351647919463,-0.25975866205345066,-0.5645312519475085,1.193824217267009,-0.14723087963306425,-0.35024898915476244,-0.5778123686052827,306.8789184660509,-0.5960664019195396,0.42092266143335033,-0.5960664019195396,0.7441622883829538,0.7385454723140062,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968975,0.6184786476793963,2023-02-03,2023-02-16,1.0,1.0000000000000002,0,1.1570304504788842
