strategy,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,blend
BH_A25_F80_M120_W35_X120S50D20,80,120,0.35,120,50,-0.2,0.2981608775809037,-0.5960664019195392,0.5002141986542489,1220.9410284436135,996,-0.2850818522762304,-0.4271403992714783,-0.2625942015448235,-0.5643134086518347,1.193824217267009,-0.14723087963306436,-0.3530725645136349,-0.5499605073457781,305.5409916091676,-0.5960664019195392,0.42054329060032325,-0.5960664019195392,0.7451838879159369,0.7338274246238348,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153325,0.6153667301204375,2023-02-03,2023-03-20,1.0,1.0,0,1.1733112105087558
BH_A25_F60_M120_W50_X120S50D18,60,120,0.5,120,50,-0.18,0.2904546431594235,-0.5804007047324975,0.5004381297112517,1038.1659728557092,861,-0.3434721794235097,-0.45772745826815575,-0.24891370277069158,-0.5643134086518344,0.9089453559149467,-0.14723087963306425,-0.37423988574313405,-0.5601981000158627,277.6638012137477,-0.5804007047324975,0.41226311925039516,-0.5804007047324975,0.7467892586106246,0.7356646711414105,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.942530127114967,0.6777619603418711,2023-01-25,2023-03-20,1.0,1.0,0,1.1731194243696197
BH_A25_F70_M100_W50_X120S50D18,70,100,0.5,120,50,-0.18,0.2993110291458043,-0.5804007047324975,0.515697218671977,1250.7489472459533,874,-0.2662642012577011,-0.49977783811160537,-0.18805252729417288,-0.5643134086518344,0.7774460477495013,-0.14723087963306436,-0.3298320825321973,-0.5645461092174371,276.8812492846115,-0.5804007047324975,0.4120196326830008,-0.5804007047324975,0.7438704028021016,0.7384908156922219,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.62409530786343,0.6466748777674497,2023-01-27,2023-02-16,1.0,1.0000000000000002,0,1.1725689423275192
BH_A25_F70_M110_W80_X100S50D20,70,110,0.8,100,50,-0.2,0.3003107636800617,-0.6057861178106139,0.4957372822695608,1277.2270017741807,890,-0.23260054133666075,-0.46338948141258274,-0.11081291762236956,-0.5643134086518344,0.7891823721547648,-0.14723087963306447,-0.35890199584408944,-0.5834348183400777,246.7480230740499,-0.6057861178106139,0.4021172508602451,-0.6057861178106139,0.7448920023350847,0.7419954047039434,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.90255774116482,0.6738596708069214,2023-01-27,2023-01-27,1.0,1.0,0,1.1712728127982701
BH_A25_F80_M120_W50_X110S50D20,80,120,0.5,110,50,-0.2,0.3008803298815721,-0.5997497569312003,0.5016764515605919,1292.5525901002645,997,-0.3095128681391772,-0.45641454813219307,-0.18024892024577444,-0.5643134086518344,1.1738193613605619,-0.14723087963306447,-0.35625664283263125,-0.5499605073457781,301.25074169894225,-0.5997497569312003,0.4193162142995961,-0.5997497569312003,0.7454757734967893,0.7363870341513227,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.267449846009739,0.6118574952070316,2023-02-03,2023-03-20,1.0,1.0000000000000002,0,1.169545854461131
BH_A25_F70_M120_W80_X120S30D20,70,120,0.8,120,30,-0.2,0.2983750402438292,-0.6057861178106134,0.4925418913893138,1226.4390264795816,890,-0.23354950466376145,-0.464053051991539,-0.2309092006096456,-0.5858361954974319,0.7891823721547637,-0.14723087963306436,-0.28738459998864974,-0.5499605073457778,274.3854409473406,-0.6057861178106134,0.41123875326617654,-0.6057861178106134,0.7429947460595446,0.7393412237545387,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.7269667968392115,0.6567176691928989,2023-01-27,2023-01-27,1.0,1.0,0,1.1695326922527056
BH_A25_F80_M120_W65_X110S50D18,80,120,0.65,110,50,-0.18,0.30046563579669927,-0.5804007047324975,0.5176865454275796,1281.3768035227586,1014,-0.3600811630873878,-0.504902270852456,-0.14880914825309255,-0.5643134086518345,1.1538145054541147,-0.14723087963306436,-0.3802817641225733,-0.5702173031071767,310.3735769477735,-0.5804007047324975,0.42190632369428505,-0.5804007047324975,0.7446001167542323,0.7382058846828446,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.23150364286615,0.6083482602936254,2023-02-03,2023-03-20,1.0,1.0,0,1.1690476237569065
BH_A25_F80_M120_W50_X120S50D18,80,120,0.5,120,50,-0.18,0.2976394569012246,-0.5804007047324976,0.5128171872885724,1207.6541720140626,1002,-0.34694768457748837,-0.485885077951291,-0.2250012403952567,-0.5643134086518344,1.1738193613605614,-0.14723087963306447,-0.3772012820127969,-0.5565807710837483,314.8277924532227,-0.5804007047324976,0.4231451640333388,-0.5804007047324976,0.7441622883829538,0.7353950470761584,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.267449846009734,0.6118574952070311,2023-02-03,2023-03-20,1.0,1.0,0,1.16885137921635
BH_A25_F70_M120_W35_X110S40D22,70,120,0.35,110,40,-0.22,0.29452514932179397,-0.5893611040899176,0.49973632002165325,1131.1487427154054,852,-0.1656934757091174,-0.3746760421278278,-0.29648557271206477,-0.5643134086518345,0.7715778855468702,-0.14723087963306436,-0.43576399774971186,-0.5893611040899176,254.0808226308549,-0.5893611040899176,0.40462703781607146,-0.5893611040899176,0.749124343257443,0.7363667315714469,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.5358876428918595,0.6380636367884848,2023-01-27,2023-03-20,1.0,1.0,0,1.1688462499725603
BH_A25_F70_M120_W50_X120S40D20,70,120,0.5,120,40,-0.2,0.2979027832961436,-0.6083720040111693,0.48967207782735894,1214.3467580658862,893,-0.152979541604631,-0.4080851107007277,-0.2841402078288805,-0.5759852687314995,0.777446047749502,-0.14723087963306447,-0.30952175776690827,-0.5499605073457781,264.080381710552,-0.6083720040111693,0.4079425695259955,-0.6083720040111693,0.7434325744308231,0.7339926729195445,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.5995806942076465,0.6442816475899564,2023-01-27,2023-03-20,1.0,1.0000000000000002,0,1.1688303591418623
BH_A25_F60_M110_W65_X120S40D20,60,110,0.65,120,40,-0.2,0.28431360952455886,-0.5810372490267552,0.4893207965595799,911.6782903933772,1045,-0.4066377462537206,-0.5004176586583564,-0.2631237091621478,-0.5645312519475085,0.9145973905817406,-0.14723087963306447,-0.3326168626380027,-0.5663555711454695,274.98396773613683,-0.5810372490267552,0.41142662186620593,-0.5810372490267552,0.7463514302393461,0.7404489890872349,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.416722053678985,0.7240547734578112,2023-01-25,2023-02-28,1.0,1.0,0,1.168770324313148
BH_A25_F80_M110_W65_X110S40D22,80,110,0.65,110,40,-0.22,0.29920429390821535,-0.6192014234279668,0.4832099581615747,1247.9534995554864,1003,-0.34387890418798894,-0.49236677240259796,-0.21842743749478843,-0.5643134086518344,1.1538145054541147,-0.14723087963306447,-0.4139471607950044,-0.6192014234279668,321.1082412584017,-0.6192014234279668,0.4248643492466462,-0.6192014234279668,0.7498540572095739,0.7453821364954286,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.539117688242179,0.638378968782519,2023-02-03,2023-02-28,1.0,1.0,0,1.1680044947955424
BH_A25_F80_M120_W50_X100S50D20,80,120,0.5,100,50,-0.2,0.3004487671075844,-0.5997497569311994,0.5009568801576864,1280.924177120944,1002,-0.31572481617725534,-0.4613048993428781,-0.1802489202457742,-0.5643134086518344,1.173819361360561,-0.14723087963306436,-0.3562566428326315,-0.549960507345778,301.2507416989428,-0.5997497569311994,0.4193162142995963,-0.5997497569311994,0.7456217162872154,0.7364497963630348,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.267449846009736,0.6118574952070314,2023-02-03,2023-03-20,1.0,1.0,0,1.1674888772840253
BH_A25_F70_M120_W35_X100S40D22,70,120,0.35,100,40,-0.22,0.29424623870056354,-0.5893611040899178,0.49926307769314704,1124.5295999581356,852,-0.17057558694618424,-0.378335250143886,-0.29648557271206366,-0.5643134086518344,0.7715778855468705,-0.14723087963306447,-0.4357639977497122,-0.5893611040899178,254.08082263085498,-0.5893611040899178,0.40462703781607146,-0.5893611040899178,0.7492702860478693,0.7364075579341206,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.5358876428918595,0.6380636367884848,2023-01-27,2023-03-20,1.0,1.0,0,1.1674171318162725
BH_A25_F70_M120_W35_X120S30D22,70,120,0.35,120,30,-0.22,0.29421146062440484,-0.5893611040899174,0.49920406790115845,1123.7068631647646,852,-0.17118241666588785,-0.3787900771781131,-0.29648557271206266,-0.5643134086518345,0.7715778855468702,-0.14723087963306447,-0.43576399774971175,-0.5893611040899174,254.08082263085507,-0.5893611040899174,0.40462703781607146,-0.5893611040899174,0.7483946293053123,0.736140284413522,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.535887642891862,0.6380636367884851,2023-01-27,2023-03-20,1.0,1.0000000000000002,0,1.1672392212190308
BH_A25_F80_M110_W65_X110S40D20,80,110,0.65,110,40,-0.2,0.29747981499365483,-0.6034331119428604,0.492978938520403,1203.6140993046631,1003,-0.34387890418798894,-0.49236677240259796,-0.21842743749478843,-0.5643134086518344,1.1538145054541138,-0.14723087963306436,-0.33219258012855224,-0.566079885806444,309.66383548660633,-0.6034331119428604,0.4217073900838928,-0.6034331119428604,0.7448920023350847,0.7404200816209394,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.539117688242182,0.6383789687825193,2023-02-03,2023-02-28,1.0,1.0,0,1.1670006866821352
BH_A25_F70_M120_W65_X120S30D20,70,120,0.65,120,30,-0.2,0.29709368186405594,-0.6070790609108925,0.4893821925241193,1193.8959488609155,893,-0.21231519322585723,-0.4365003743564888,-0.25752470421926243,-0.5809107321144652,0.7833142099521313,-0.14723087963306436,-0.2984967148193546,-0.5499605073457781,269.2021133873036,-0.6070790609108925,0.4095955605456232,-0.6070790609108925,0.7429947460595446,0.7365669109061306,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.663273745523428,0.6504996583914275,2023-01-27,2023-03-20,1.0,1.0,0,1.1664880713098307
BH_A25_F70_M100_W80_X120S40D20,70,100,0.8,120,40,-0.2,0.2996718158382772,-0.6057861178106145,0.4946825406322085,1260.2428503429499,890,-0.22844303628533136,-0.49829814861886845,-0.21593503588224794,-0.5858361954974316,0.7891823721547635,-0.14723087963306436,-0.2864816182971498,-0.549960507345778,274.7343921646124,-0.6057861178106145,0.41134833036346485,-0.6057861178106145,0.7434325744308231,0.7413932082473523,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.736757926175266,0.6576735246074612,2023-01-27,2023-01-27,1.0,1.0,0,1.1664872393666583
BH_A25_F70_M120_W35_X110S50D22,70,120,0.35,110,50,-0.22,0.2933062202333103,-0.5893611040899178,0.4976680988919844,1102.4946290978748,852,-0.1656934757091174,-0.3746760421278278,-0.31430690917281057,-0.5732698366432152,0.771577885546872,-0.14723087963306436,-0.4357639977497122,-0.5893611040899178,254.08082263085495,-0.5893611040899178,0.40462703781607146,-0.5893611040899178,0.7516053706946877,0.7388477590086916,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.53588764289186,0.6380636367884849,2023-01-27,2023-03-20,1.0,1.0,0,1.1657989272513514
BH_A25_F70_M120_W35_X120S40D22,70,120,0.35,120,40,-0.22,0.29488996812454715,-0.5893611040899178,0.5003553272826031,1139.863339959978,973,-0.1592658105726501,-0.39490023414776254,-0.2964855727120618,-0.5643134086518344,0.7715778855468702,-0.14723087963306436,-0.4357639977497123,-0.5893611040899178,254.0808226308548,-0.5893611040899178,0.40462703781607146,-0.5893611040899178,0.7516053706946877,0.7374100624969265,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.535887642891863,0.6380636367884852,2023-01-27,2023-03-20,1.0,1.0,0,1.1657134585754563
BH_A25_F80_M120_W35_X120S40D20,80,120,0.35,120,40,-0.2,0.2951003669285077,-0.5960664019195394,0.49507968571652883,1144.9186016585536,996,-0.2850818522762304,-0.4271403992714783,-0.30850909589103004,-0.5645312519475086,1.1938242172670068,-0.14723087963306425,-0.35307256451363467,-0.549960507345778,305.5409916091676,-0.5960664019195394,0.42054329060032325,-0.5960664019195394,0.7441622883829538,0.7328058250908517,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153324,0.6153667301204374,2023-02-03,2023-03-20,1.0,1.0,0,1.1656599338777658
